subsample,model,N,RMSE,MAE,QLIKE
overall,M1,376,0.3684048731499691,0.22595645022619662,0.39036178713657826
overall,M1-macro,376,0.36700503725105615,0.22275555081938903,0.38157936874322007
announcement_days_only,M1,12,0.24314502490396842,0.1981767807089768,0.5931234746246586
announcement_days_only,M1-macro,12,0.16651325224718513,0.1381513928826451,0.14095883276807047
