refit_date,n_train,n_fomc_train,fomc_coef
2025-02-24,3304,105,0.23043425688513652
2025-03-25,3325,106,0.23038263794869
2025-04-24,3346,106,0.22918709658747044
2025-05-23,3367,107,0.22845652041274933
2025-06-25,3388,108,0.22662122410299765
2025-07-25,3409,108,0.22696725581091193
2025-08-25,3430,109,0.2276385276912629
2025-09-24,3451,110,0.23049039693577184
2025-10-23,3472,110,0.23028221365704227
2025-11-21,3493,111,0.23015755925587295
2025-12-23,3514,112,0.23059470524117226
2026-01-26,3535,112,0.2307303399732153
2026-02-25,3556,113,0.22810185852281092
2026-03-26,3577,114,0.22655532478439205
2026-04-27,3598,114,0.22667809334400502
2026-05-27,3619,115,0.22437677168215905
2026-06-26,3640,116,0.22507308504709797
2026-07-28,3661,116,0.22510626235229542
