feature,coef,se,t,p
intercept,0.07203404407742527,0.011927474621432168,6.039337442646004,1.7022163678603874e-09
rv1,0.356442073484529,0.019449756289087225,18.32630024698663,0.0
rv2,0.17122348348756722,0.0214433746553617,7.9849131136994105,1.7763568394002505e-15
rv5,0.2276678198069733,0.03851678341087451,5.910873121941316,3.714790919318034e-09
rv22,0.12371396364448192,0.026459396607756,4.6756154525541165,3.0366176957397073e-06
fomc_day,0.22398397431712885,0.031234277697968764,7.171095054062833,8.961720254774264e-13
