date,actual_rv_fwd5,crisis,M1_h5,M2_h5_raw,M3_h5
2025-02-18,0.6156514271390158,False,0.44659230031074987,0.9355853007355706,0.5831534708205197
2025-02-19,0.7345618546543353,False,0.45247109016657616,0.8683071420031583,0.5605641405185171
2025-02-20,0.83060335356677,False,0.45411733481673044,0.8113618453911784,0.5368727093861034
2025-02-21,0.9216041458222927,False,0.49498474476801085,0.8240956163086807,0.5645429241724476
2025-02-24,1.1314172016391868,False,0.5589214875941233,0.7595742606658618,0.5676730766129126
2025-02-25,1.2576796891148694,True,0.5731399577211533,0.7366941760942769,0.5571451906286023
2025-02-26,1.3305578109245675,True,0.6845094836944088,0.6887111849864518,0.5850715302964705
2025-02-27,1.3687060931689619,True,0.7445149612863848,0.6414401019032665,0.5826873808321059
2025-02-28,1.4060844838543993,True,0.8003028612948198,0.6930312518226817,0.6235297860945209
2025-03-03,1.3934795038767085,True,0.873123308004021,1.0524481357342241,0.7967387892121304
2025-03-04,1.3723924680443518,True,1.0626773050280434,1.0736928291150485,0.8822128989277042
2025-03-05,1.3456311634882765,True,1.1313390272833346,1.0904761147493995,0.9090155754833853
2025-03-06,1.2869714687354923,True,1.0895744359236905,1.0017185840623364,0.844603805109223
2025-03-07,1.2923487072077993,True,1.0673262842898472,1.256099004417316,0.9342008313840994
2025-03-10,1.1343901958569154,False,1.1126746580743585,1.1499822334365717,0.9125508956514828
2025-03-11,0.9649077532424004,False,1.1724727193388298,1.4222069291090924,1.054995065750806
2025-03-12,0.9504935502955121,False,1.165139300171044,1.5234034534392533,1.0936873950440038
2025-03-13,0.9625843966446934,False,1.0804780287265583,1.37638289960006,0.994143711268184
2025-03-14,0.825277940235768,False,0.9920031476991256,1.6031004036256342,1.0488284578987321
2025-03-17,0.7677371600184673,False,1.0840648173107552,1.446803878782142,1.03598437365702
2025-03-18,0.709948594036718,False,0.9389609362937512,1.8511450394287863,1.13697876192371
2025-03-19,0.672017688526435,False,0.8055890700512485,1.8445577402287778,1.0864936908360985
2025-03-20,0.6272508848772576,False,0.8887095659119844,1.647594040920214,1.0542500246608668
2025-03-21,0.6679233533327353,False,0.9071378708212767,1.7159108566260346,1.087828799201105
2025-03-24,0.8496720122227117,False,0.7964792370913638,1.5752667988497573,0.9885188672782136
2025-03-25,1.0039982861229801,False,0.7154092500957344,1.446726105420478,0.9019236304855952
2025-03-26,1.0675785581263366,False,0.644738186644028,1.506794764078096,0.8961097393597532
2025-03-27,1.1405769740243314,False,0.7378657710513962,1.4208646994013123,0.9159901708233043
2025-03-28,1.3205208439582719,True,0.7320289444892899,1.32329834555691,0.8744510064147694
2025-03-31,2.140661868274835,True,0.7687850594991071,1.237929058661522,0.8558605553084515
2025-04-01,2.7036180908916236,True,0.9537502611342388,1.1182251645832313,0.8848015507535774
2025-04-02,3.20336989421333,True,0.9781382546386214,1.0223445790970302,0.8387422973215468
2025-04-03,3.613147989453032,True,0.9939606163065245,1.2020424796286642,0.9144212023170957
2025-04-04,3.6091879635189947,True,1.0039494382916399,1.151086152555758,0.8901998465283176
2025-04-07,2.7568053831798536,True,1.2094194534492677,1.4741962573847371,1.1107087903506019
2025-04-08,2.1339887308983334,True,2.3604757674744814,1.33913425924088,1.5741337787113732
2025-04-09,1.8446049588906384,True,2.4927708548046743,1.2334152581874038,1.5175775900427377
2025-04-10,1.4058817716853134,True,2.5110558974372896,1.127628010459253,1.4435033112890698
2025-04-11,1.3699771557023888,True,2.528439516139872,2.3395247115704123,1.901101801399388
2025-04-14,1.3353751328037493,True,2.19511912692834,3.232325812119533,2.0905951315177305
2025-04-15,1.4537801037172722,True,1.6949389982444263,2.8952119506878975,1.7924038392000003
2025-04-16,1.2185881165290988,True,1.3482349634031894,2.859710036006886,1.665473499506761
2025-04-17,1.1934322912492679,True,1.5510987535337222,2.580518972897321,1.6949157663772154
2025-04-21,1.0939916693058425,False,1.2300460940451559,3.1103161045081573,1.801688311635516
2025-04-22,1.00775533953779,False,1.2708838782359384,2.7109199026144504,1.6670083919444532
2025-04-23,1.0810545215769676,False,1.1898127003862682,2.430144050573268,1.5085626594532089
2025-04-24,1.0183256361267563,False,1.2683912661278762,2.2364488762006163,1.4560946652306355
2025-04-25,0.9943299141059182,False,1.1460897923641666,2.377463926705791,1.481797923763979
2025-04-28,0.8973818119307237,False,1.0672886327196303,2.1683027204630303,1.358949674381078
2025-04-29,0.9295279107121521,False,1.0774735803872562,2.367658480739364,1.4623506691262156
2025-04-30,0.7718035912179034,False,0.9666258166820221,2.103955487372483,1.3040464073896312
2025-05-01,0.8361409455994909,False,1.2118242538115125,1.8991274542300445,1.3385810798182507
2025-05-02,0.8017275667118634,False,1.0435764590608412,1.7006741124431581,1.1697681081684588
2025-05-05,0.8210424948350514,False,0.9538376287336101,1.5552550872815911,1.0702027154495415
2025-05-06,0.7926826059958937,False,0.8926801168075326,1.3909707760731411,0.9815689730963535
2025-05-07,0.6801443983206841,False,0.9352664340046384,1.2824435369411495,0.9538970365146637
2025-05-08,0.5609636110943422,False,0.9303247355104016,1.19617533821449,0.9334027444136986
