pair_group,pair,date,spread_diff,trailing_std_90d,abs_z
task1b,ZB=F/ZN=F,2019-03-21,0.00468666723611566,0.000820579472847981,5.711411741570464
task1b,ZB=F/ZN=F,2019-06-20,0.006667474291569775,0.0007994199774798058,8.340389881910603
task1b,ZB=F/ZN=F,2019-09-20,0.007034411267902829,0.0011797233951249262,5.962763218032074
task1b,ZB=F/ZN=F,2020-03-06,-0.008774638364227538,0.0006654183325561507,13.186649563020717
task1b,ZB=F/ZN=F,2020-03-09,-0.008313178790976927,0.001143266819431591,7.271424876224494
task1b,ZB=F/ZN=F,2020-12-22,-0.008397955581176397,0.0012475913176786414,6.731335383771539
task1b,ZB=F/ZN=F,2022-03-23,-0.008939286975191418,0.0015243587604781342,5.864293371717495
task1b,ZB=F/ZN=F,2022-10-21,0.010829812352416646,0.0017786528957345307,6.088772226659915
task1b,ES=F/NQ=F,2016-11-10,-0.01934835608767127,0.0030708617285022813,6.300627575670051
task1b,ES=F/NQ=F,2017-06-09,-0.02379264640185319,0.0029583411941136954,8.042563328798641
task1b,ES=F/NQ=F,2017-11-29,-0.017490678278685223,0.003406180026672146,5.134983512827917
task1b,ES=F/NQ=F,2018-02-05,0.029182005704205594,0.004254093226995249,6.859747576528179
task1b,ES=F/NQ=F,2020-02-25,0.018703066098904486,0.0032810685768205105,5.700297223604061
task1b,ES=F/NQ=F,2020-02-27,0.02215770172768039,0.0039014159665153644,5.679399971152276
task1b,ES=F/NQ=F,2020-03-09,0.04898134749998917,0.006149724575978334,7.964803446859558
task1b,ES=F/NQ=F,2020-03-12,0.056019746662467895,0.008688007209062296,6.44793970751253
task1b,ES=F/NQ=F,2020-03-23,0.08294385918390468,0.012930436764533447,6.414621616758469
task1b,ES=F/NQ=F,2025-04-04,0.030406856352573897,0.005086544866403416,5.9778999598353915
task1b,ES=F/RTY=F,2020-03-09,-0.05555281854722249,0.005650705377731009,9.831129891526789
task1b,ES=F/RTY=F,2020-03-12,-0.07504116167446728,0.008863106446016716,8.466688528624466
task1b,ES=F/RTY=F,2020-03-16,-0.0926590039923445,0.012230700310126887,7.575936098738668
task1b,ES=F/RTY=F,2023-11-14,0.04043430871872378,0.006922253740014221,5.841205803392106
task1b,ES=F/RTY=F,2024-07-11,0.04124828658670765,0.007617538521234682,5.414910140818291
task1b,ES=F/RTY=F,2025-04-03,-0.03980147081409058,0.007490046784237651,5.313914847347864
task1b,NQ=F/RTY=F,2020-03-09,-0.07268878718534388,0.007085392653658169,10.258963862477666
task1b,NQ=F/RTY=F,2020-03-12,-0.09487732233902113,0.01136554176387722,8.347804645843372
task1b,NQ=F/RTY=F,2020-03-16,-0.11160128866265984,0.01583083368210691,7.0496153837305
task1b,NQ=F/RTY=F,2023-11-14,0.04480219348410763,0.008139481760698597,5.504305409274895
task1b,NQ=F/RTY=F,2024-07-11,0.044306954264008436,0.00864050225157937,5.1278216212384775
task1b,NQ=F/RTY=F,2025-04-03,-0.04727889979708477,0.008537924762441595,5.537516564337164
task1b,GC=F/HG=F,2025-04-04,-0.07078641567731037,0.013111393275805648,5.398847718795224
task1b,GC=F/HG=F,2025-07-08,0.13015468304903077,0.01818557930574464,7.157027052083858
task1b,GC=F/HG=F,2025-07-31,-0.25112096607366574,0.02258767863059966,11.117608417425894
task1b,GC=F/SI=F,2016-11-14,-0.05393086567979388,0.008827452764907168,6.109448231112799
task1b,GC=F/SI=F,2020-02-28,-0.04814298765136904,0.009133340277759515,5.27112602698067
task1b,GC=F/SI=F,2020-03-13,-0.07246378731717495,0.010633074351283169,6.814942219267961
task1b,GC=F/SI=F,2020-03-16,-0.11272542560490528,0.013000924785997152,8.670569783337102
task1b,GC=F/SI=F,2020-09-21,-0.1362641840617278,0.02719772628370087,5.010131458797296
task1b,GC=F/SI=F,2025-04-03,-0.06806116920053373,0.011350013856394605,5.996571463407335
task1b,GC=F/SI=F,2026-01-30,-0.2671036217560321,0.0314744774408797,8.48635604062841
