ticker,date,log_return,trailing_std_90d,abs_z
CL=F,2019-09-16,0.13694402906308503,0.02381150117817753,5.751171588819852
CL=F,2020-03-06,-0.10608705870803765,0.0184944761616898,5.736148338593695
CL=F,2020-03-09,-0.2822061341074852,0.02109488564951441,13.377940928254397
CL=F,2020-03-18,-0.27992005422625427,0.03981342082626988,7.030796360044402
CL=F,2021-11-26,-0.1399851798819939,0.017589441707437918,7.958477716936257
CL=F,2026-03-06,0.11518738775742002,0.02091942576540056,5.50624042214069
CL=F,2026-03-10,-0.12720525452225404,0.024333511788855202,5.227574861615918
CL=F,2026-04-08,-0.17929817736150372,0.035123347136207905,5.104814659781359
ES=F,2015-08-24,-0.05218801758384373,0.0075502913394170255,6.912053487445066
ES=F,2016-06-24,-0.042317036902477574,0.006538225607938911,6.472250950027627
ES=F,2018-02-02,-0.023570567385029263,0.003925938962976041,6.003803830704921
ES=F,2018-02-05,-0.055564669082707345,0.0047156076333172686,11.783140880959916
ES=F,2018-10-10,-0.03784020712916312,0.004692208654932157,8.064476648835267
ES=F,2019-08-05,-0.03557858989034719,0.0069776465955125625,5.098938360281583
ES=F,2020-02-24,-0.03442575882439111,0.005678378474510674,6.0626037836193545
ES=F,2020-02-27,-0.05052786794212319,0.007519415190110633,6.719653944441892
ES=F,2020-03-09,-0.07575731246696776,0.011704226695827796,6.472645689097337
ES=F,2020-03-12,-0.10423594675065322,0.01556039180568669,6.698799622292237
ES=F,2020-03-16,-0.10955244150965707,0.021220522387578173,5.162570435767671
ES=F,2025-04-04,-0.06119712471975905,0.011732962200627512,5.215829018564984
ES=F,2025-04-09,0.08963065503630356,0.013372346747952875,6.702687024626011
GC=F,2019-06-20,0.03529136934367409,0.006327561771815624,5.5774041591928425
GC=F,2020-02-28,-0.047385678747064744,0.006667828811301989,7.106612975238039
GC=F,2021-06-17,-0.04718346889536021,0.008422525373644046,5.60205719807123
GC=F,2023-10-13,0.03060790174466398,0.005817970062106565,5.260924586741772
GC=F,2025-10-21,-0.059062035540049886,0.010668796036355205,5.535960696857349
GC=F,2026-01-30,-0.1206569177115754,0.015433670197687564,7.8177721932695885
HG=F,2020-03-18,-0.06928595665634485,0.010642162012815449,6.510515116468785
