date,pair,logx,logy,alpha_active,beta_active,spread,zscore
2015-01-02,GC=F/SI=F,7.078341579557671,2.7558239889993126,,,,
2015-01-05,GC=F/SI=F,7.093321586220125,2.7837141578380935,,,,
2015-01-06,GC=F/SI=F,7.106032242612248,2.8095834405252473,,,,
2015-01-07,GC=F/SI=F,7.098871363290676,2.803966271795261,,,,
2015-01-08,GC=F/SI=F,7.097052469716143,2.7942890472872253,,,,
2015-01-09,GC=F/SI=F,7.103322062526113,2.796427292164236,,,,
2015-01-12,GC=F/SI=F,7.1169621249467605,2.80547933720558,,,,
2015-01-13,GC=F/SI=F,7.118259326309248,2.840539384148289,,,,
2015-01-14,GC=F/SI=F,7.1183403208270315,2.8306217165942855,,,,
2015-01-15,GC=F/SI=F,7.142590180277465,2.8374982656078824,,,,
2015-01-16,GC=F/SI=F,7.152190563550428,2.875765623570649,,,,
2015-01-19,GC=F/SI=F,7.152190563550428,2.875765623570649,,,,
2015-01-20,GC=F/SI=F,7.165647984894742,2.887422998104198,,,,
2015-01-21,GC=F/SI=F,7.165261571180851,2.9002671287402797,,,,
2015-01-22,GC=F/SI=F,7.170657822529812,2.9094116036832727,,,,
2015-01-23,GC=F/SI=F,7.164410953941233,2.9060263821676227,,,,
2015-01-26,GC=F/SI=F,7.154146516098468,2.888536689295849,,,,
2015-01-27,GC=F/SI=F,7.163714421436525,2.8941424617074016,,,,
2015-01-28,GC=F/SI=F,7.159214160262366,2.8941424617074016,,,,
2015-01-29,GC=F/SI=F,7.134572056203004,2.8188757215906652,,,,
2015-01-30,GC=F/SI=F,7.153442794731241,2.8444441265007954,,,,
2015-02-02,GC=F/SI=F,7.151642153173687,2.8469422353823215,,,,
2015-02-03,GC=F/SI=F,7.138628837596547,2.850995494722429,,,,
2015-02-04,GC=F/SI=F,7.141878372975313,2.855262564100567,,,,
2015-02-05,GC=F/SI=F,7.140453043101158,2.8437459343195424,,,,
2015-02-06,GC=F/SI=F,7.117935183690583,2.8140904554729214,,,,
2015-02-09,GC=F/SI=F,7.12351165121446,2.8363848304249455,,,,
2015-02-10,GC=F/SI=F,7.1160693962273,2.8247660216175423,,,,
2015-02-11,GC=F/SI=F,7.105786129481271,2.8180997563646137,,,,
2015-02-12,GC=F/SI=F,7.106688081571402,2.820068497148485,,,,
2015-02-13,GC=F/SI=F,7.111919863698544,2.8494340088716203,,,,
2015-02-16,GC=F/SI=F,7.111919863698544,2.8494340088716203,,,,
2015-02-17,GC=F/SI=F,7.096804136316874,2.794961543249112,,,,
2015-02-18,GC=F/SI=F,7.089826763820603,2.7880929087757464,,,,
2015-02-19,GC=F/SI=F,7.095976047481696,2.795511494581385,,,,
2015-02-20,GC=F/SI=F,7.093736816878304,2.788892618970368,,,,
2015-02-23,GC=F/SI=F,7.090326845211233,2.7879082603816245,,,,
2015-02-24,GC=F/SI=F,7.0874901802770705,2.783899464352336,,,,
2015-02-25,GC=F/SI=F,7.0909098220799835,2.7987436667098713,,,,
2015-02-26,GC=F/SI=F,7.098044985241685,2.8083780852737195,,,,
2015-02-27,GC=F/SI=F,7.100522073503981,2.8041479790503567,,,,
2015-03-02,GC=F/SI=F,7.096472962850655,2.797708047922286,,,,
2015-03-03,GC=F/SI=F,7.093404625868766,2.7885850596598467,,,,
2015-03-04,GC=F/SI=F,7.090576690482858,2.78080487511938,,,,
2015-03-05,GC=F/SI=F,7.086654339389564,2.78080487511938,,,,
2015-03-06,GC=F/SI=F,7.059703514281717,2.7589967938551667,,,,
2015-03-09,GC=F/SI=F,7.061677382185517,2.757157782473022,,,,
2015-03-10,GC=F/SI=F,7.0562614662365695,2.7481038951841614,,,,
2015-03-11,GC=F/SI=F,7.048125689396002,2.730789705473381,,,,
2015-03-12,GC=F/SI=F,7.049341621853085,2.74038831098392,,,,
2015-03-13,GC=F/SI=F,7.0497755178208354,2.739355066212087,,,,
2015-03-16,GC=F/SI=F,7.05038271956964,2.7473350040063993,,,,
2015-03-17,GC=F/SI=F,7.046037909304241,2.7448320628440253,,,,
2015-03-18,GC=F/SI=F,7.048733893445515,2.742451603248223,,,,
2015-03-19,GC=F/SI=F,7.063989480129989,2.7786950141312206,,,,
2015-03-20,GC=F/SI=F,7.077329304165713,2.8253590846527064,,,,
2015-03-23,GC=F/SI=F,7.080026499922591,2.825655427801923,,,,
2015-03-24,GC=F/SI=F,7.083136097123256,2.831034462833639,,,,
2015-03-25,GC=F/SI=F,7.0878243415046605,2.83203615392421,,,,
2015-03-26,GC=F/SI=F,7.094317809774394,2.8403641711702288,,,,
2015-03-27,GC=F/SI=F,7.089910195915879,2.83626750158748,,,,
2015-03-30,GC=F/SI=F,7.077329304165713,2.8128305237613866,,,,
2015-03-31,GC=F/SI=F,7.0758933706239455,2.8082574237886786,,,,
2015-04-01,GC=F/SI=F,7.096804136316874,2.835798272343271,,,,
2015-04-02,GC=F/SI=F,7.090826574996442,2.814570093861076,,,,
2015-04-03,GC=F/SI=F,7.090826574996442,2.814570093861076,,,,
2015-04-06,GC=F/SI=F,7.1054579177798765,2.838785982924811,,,,
2015-04-07,GC=F/SI=F,7.098871363290676,2.8228659208763744,,,,
2015-04-08,GC=F/SI=F,7.092656817746849,2.79971742211329,,,,
2015-04-09,GC=F/SI=F,7.0847292089953555,2.782786519840275,,,,
2015-04-10,GC=F/SI=F,7.09390282034226,2.7954504426495905,,,,
2015-04-13,GC=F/SI=F,7.089493372951528,2.7899374027516357,,,,
2015-04-14,GC=F/SI=F,7.084058804386246,2.7819819096261265,,,,
2015-04-15,GC=F/SI=F,7.091326055176523,2.789261401190591,,,,
2015-04-16,GC=F/SI=F,7.088408778675395,2.7896915729517953,,,,
2015-04-17,GC=F/SI=F,7.09249060729603,2.7863067404579476,,,,
2015-04-20,GC=F/SI=F,7.084645445778885,2.7652493783901537,,,,
2015-04-21,GC=F/SI=F,7.09249060729603,2.7727137649663525,,,,
2015-04-22,GC=F/SI=F,7.079100165632063,2.7594401806756235,,,,
2015-04-23,GC=F/SI=F,7.085399266665421,2.7615277975409693,,,,
2015-04-24,GC=F/SI=F,7.069193583310888,2.7492560940919857,,,,
2015-04-27,GC=F/SI=F,7.0928231020226296,2.796671355516472,,,,
2015-04-28,GC=F/SI=F,7.101675971619444,2.8086192495844333,,,,
2015-04-29,GC=F/SI=F,7.098210376033307,2.813610701339424,,,,
2015-04-30,GC=F/SI=F,7.075301570841825,2.780308879323165,,,,
2015-05-01,GC=F/SI=F,7.068597804098967,2.7795022722972647,,,,
2015-05-04,GC=F/SI=F,7.07901592955934,2.7983782493151663,,,,
2015-05-05,GC=F/SI=F,7.084394011718597,2.806808925202719,,,,
2015-05-06,GC=F/SI=F,7.081960696195529,2.802390168118607,,,,
2015-05-07,GC=F/SI=F,7.075301570841825,2.7894457999214235,,,,
2015-05-08,GC=F/SI=F,7.080951976911986,2.7998390023925617,,,,
2015-05-11,GC=F/SI=F,7.075977870128735,2.7910424214952396,,,,
2015-05-12,GC=F/SI=F,7.0838910562177135,2.803966271795261,,,,
2015-05-13,GC=F/SI=F,7.1052938216187576,2.8453163203363636,,,,
2015-05-14,GC=F/SI=F,7.111022620214896,2.8592823063114,,,,
2015-05-15,GC=F/SI=F,7.111104202968168,2.8647690133836505,,,,
2015-05-18,GC=F/SI=F,7.112979268762189,2.87424236993582,,,,
2015-05-19,GC=F/SI=F,7.095810387852588,2.836150158982343,,,,
2015-05-20,GC=F/SI=F,7.097466154403216,2.8386104624316175,,,,
2015-05-21,GC=F/SI=F,7.093736816878304,2.8397215351168463,,,,
2015-05-22,GC=F/SI=F,7.093653804811252,2.8349765349943556,,,,
2015-05-25,GC=F/SI=F,7.093653804811252,2.8349765349943556,,,,
2015-05-26,GC=F/SI=F,7.079352831284304,2.817442533193075,,,,
2015-05-27,GC=F/SI=F,7.078257279557698,2.811689265209048,,,,
2015-05-28,GC=F/SI=F,7.0801106509154135,2.8125903730459045,,,,
2015-05-29,GC=F/SI=F,7.081204277798862,2.814450177249275,,,,
2015-06-01,GC=F/SI=F,7.080279034386718,2.813250677404129,,,,
2015-06-02,GC=F/SI=F,7.085148022093763,2.820366525695279,,,,
2015-06-03,GC=F/SI=F,7.077244815745109,2.801176221724364,,,,
2015-06-04,GC=F/SI=F,7.068938337353221,2.778135852295244,,,,
2015-06-05,GC=F/SI=F,7.062876957661498,2.7707745599991616,,,,
2015-06-08,GC=F/SI=F,7.067490295483687,2.769521536582766,,,,
2015-06-09,GC=F/SI=F,7.0709790015588165,2.769396153823628,,,,
2015-06-10,GC=F/SI=F,7.078425872451753,2.7695841921755155,,,,
2015-06-11,GC=F/SI=F,7.07318498879751,2.7696469036230384,,,,
2015-06-12,GC=F/SI=F,7.072252292285429,2.76114852196843,,,,
2015-06-15,GC=F/SI=F,7.077751227280194,2.7773274898752756,,,,
