date,pair,logx,logy,alpha_active,beta_active,spread,zscore
2015-01-02,ZB=F/ZN=F,4.980176086611547,4.845416645201963,,,,
2015-01-05,ZB=F/ZN=F,4.990219979145321,4.850197530802306,,,,
2015-01-06,ZB=F/ZN=F,4.998267460102392,4.854833947111697,,,,
2015-01-07,ZB=F/ZN=F,4.998478363825624,4.855685684098152,,,,
2015-01-08,ZB=F/ZN=F,4.989794628224404,4.852884391236506,,,,
2015-01-09,ZB=F/ZN=F,4.99404001774656,4.8565366962460415,,,,
2015-01-12,ZB=F/ZN=F,5.00016399422896,4.860296783155352,,,,
2015-01-13,ZB=F/ZN=F,5.001426355010946,4.862231955505762,,,,
2015-01-14,ZB=F/ZN=F,5.006669105826377,4.865729938687723,,,,
2015-01-15,ZB=F/ZN=F,5.0112600988650975,4.870175191397219,,,,
2015-01-16,ZB=F/ZN=F,5.007505401087328,4.866452134193355,,,,
2015-01-19,ZB=F/ZN=F,5.007505401087328,4.866452134193355,,,,
2015-01-20,ZB=F/ZN=F,5.009593084517812,4.866452134193355,,,,
2015-01-21,ZB=F/ZN=F,5.004575302716381,4.863198139155803,,,,
2015-01-22,ZB=F/ZN=F,5.000584958242754,4.860780927439802,,,,
2015-01-23,ZB=F/ZN=F,5.009593084517812,4.865007221238776,,,,
2015-01-26,ZB=F/ZN=F,5.007923286592782,4.863680881139593,,,,
2015-01-27,ZB=F/ZN=F,5.007505401087328,4.864886717533142,,,,
2015-01-28,ZB=F/ZN=F,5.018520788370246,4.8711337344852295,,,,
2015-01-29,ZB=F/ZN=F,5.013339966503382,4.868975719021191,,,,
2015-01-30,ZB=F/ZN=F,5.019140687139968,4.874242669190701,,,,
2015-02-02,ZB=F/ZN=F,5.0162445328607665,4.874600771253615,,,,
2015-02-03,ZB=F/ZN=F,5.0058321105902355,4.868015104153853,,,,
2015-02-04,ZB=F/ZN=F,5.006878245218544,4.867534450455582,,,,
2015-02-05,ZB=F/ZN=F,5.003107027675465,4.866452134193355,,,,
2015-02-06,ZB=F/ZN=F,4.994886937128117,4.857629791636354,,,,
2015-02-09,ZB=F/ZN=F,4.994463567096391,4.856779709612972,,,,
2015-02-10,ZB=F/ZN=F,4.989581884898423,4.854833947111697,,,,
2015-02-11,ZB=F/ZN=F,4.989794628224404,4.854833947111697,,,,
2015-02-12,ZB=F/ZN=F,4.989156262419131,4.8553207427888285,,,,
2015-02-13,ZB=F/ZN=F,4.982964292171211,4.85385964427004,,,,
2015-02-16,ZB=F/ZN=F,4.982964292171211,4.85385964427004,,,,
2015-02-17,ZB=F/ZN=F,4.970464129406979,4.846153655430632,,,,
2015-02-18,ZB=F/ZN=F,4.975439802192595,4.852152326782143,,,,
2015-02-19,ZB=F/ZN=F,4.971981087114714,4.848851388519849,,,,
2015-02-20,ZB=F/ZN=F,4.970030289920782,4.847380800019526,,,,
