pair,coint_pass_rate,coint_pass_rate_last_2y,half_life_days,adf_pvalue,hedge_ratio_min,hedge_ratio_max,spread_discontinuity_count,meets_all_4_criteria
ZB=F/ZN=F,0.7218045112781954,0.76,140.52195940026797,0.2207926136495431,0.07659079863672158,0.6239716460149681,8,False
ES=F/NQ=F,0.18796992481203006,0.0,141.06570920595982,0.17210521937463213,0.8102879659911807,1.715974728163417,10,False
ES=F/RTY=F,0.0392156862745098,0.16,103.00394471067288,0.08241724567873115,0.3953988654985828,1.2059649377303643,6,False
NQ=F/RTY=F,0.23529411764705882,0.84,105.04702774399311,0.07881127874122335,0.034032605103642824,0.7580416052129012,6,False
GC=F/HG=F,0.0,0.0,138.76332960521006,0.1145976205468951,-0.15211476931712192,1.7441121289452857,3,False
GC=F/SI=F,0.39097744360902253,0.8,90.50389973555072,0.02844697708637276,0.3286954261163057,1.3890380023967526,7,False
