pair,n_obs,n_refits,n_coint_windows_5pct,pct_coint_windows_5pct,final_alpha,final_beta,adf_stat,adf_pvalue,stationary_5pct,ou_a,ou_b,ou_half_life_days,mean_reverting,n_spread_flags,n_leg_flags_this_pair,n_exact_date_overlap,n_near_overlap_within_3cal_days
GC=F/SI=F,3036,133,52,0.39097744360902253,-4.503442397788465,1.0175047562283022,-3.0751591811646324,0.02844697708637276,True,0.00012951192455759562,-0.007658754844656391,90.50389973555072,True,7,11,6,6
ES=F/YM=F,3036,133,38,0.2857142857142857,3.6434422333683245,0.8111944753377652,-2.8096688704184203,0.05690585679516189,False,-0.00016914399062878022,-0.0055426624999194915,125.05671788062388,True,1,13,0,0
