subsample,model,N,RMSE,MAE,QLIKE
overall,M2 raw,376,0.4265209210787413,0.3321083591022469,0.4154200385107845
overall,M2d-regime,376,0.3382211424867546,0.2290206336379328,0.3180847273429189
overall,M2e,376,0.3542689846142798,0.2393980388065465,0.3243435306639964
crisis,M2 raw,38,0.6644929581187158,0.4885596861605867,0.3685963574658873
crisis,M2d-regime,38,0.7782228251111908,0.5827534553905606,0.8396846817991936
crisis,M2e,38,0.7293663512141536,0.5613289014448943,0.7944984350032039
calm,M2 raw,338,0.3908079261107718,0.314519156651901,0.4206842393383174
calm,M2d-regime,338,0.2432399794557458,0.1892518548610102,0.2594433123448761
calm,M2e,338,0.2825045877935631,0.2032046282140696,0.2714858786968666
