regime,N,alpha,alpha_se,beta,beta_se,R2,F_stat,F_pval,section
pooled,3304,-0.0183163495370081,0.0114645062576353,0.743142176441325,0.011160111264654,0.5731706689660149,1296.6552117040562,0.0,mz_by_regime
crisis_train,326,-0.0764411180036376,0.0617152610957929,0.8302289422785714,0.0334545340233476,0.655269766881154,77.58436185487261,0.0,mz_by_regime
calm_train,2978,0.0768156926213189,0.0129759410088323,0.616988082097523,0.0145231537620213,0.3775114454985212,1494.1727323010157,0.0,mz_by_regime
