subsample,model,N,RMSE,MAE,QLIKE
overall,M2 raw,376,0.426523588036907,0.3321127204353563,0.415427574630876
overall,M2b pooled,376,0.3391854460508515,0.2192498552971905,0.3589435760451701
overall,M2c regime,376,0.3335275787489524,0.2166567265688525,0.3391533995288169
crisis,M2 raw,38,0.6644918049266068,0.4885578934329504,0.3685924297103509
crisis,M2b pooled,38,0.8335427084990757,0.6341017568448928,1.1315321102657434
crisis,M2c regime,38,0.8078947579815038,0.6290272278510951,1.1135504414288413
calm,M2 raw,338,0.3908113844546745,0.3145242098616623,0.4206930642964971
calm,M2b pooled,338,0.2233117685555374,0.1726097006853187,0.2720845100677092
calm,M2c regime,338,0.2244263765928173,0.1702955459513222,0.2520910102027786
