date,refit_date,n_train,garch_fc_vol,egarch_fc_vol,garch_fc_h5,egarch_fc_h5,garch_fc_h21,egarch_fc_h21,rv_yz,rv_20d,garch_err_yz,egarch_err_yz,garch_sqerr_yz,egarch_sqerr_yz,garch_abserr_yz,egarch_abserr_yz,garch_err_20d,egarch_err_20d,garch_sqerr_20d,egarch_sqerr_20d,garch_abserr_20d,egarch_abserr_20d,rv_yz_h5,garch_err_h5,egarch_err_h5,garch_sqerr_h5,egarch_sqerr_h5,garch_abserr_h5,egarch_abserr_h5,rv_yz_h21,garch_err_h21,egarch_err_h21,garch_sqerr_h21,egarch_sqerr_h21,garch_abserr_h21,egarch_abserr_h21
2016-07-01,2016-07-01,376,1.526445108390536,1.2611533551426892,1.3732575212631293,1.1375943671199005,1.08458917618724,0.9324839185916652,1.2835579446524568,1.2344301458717504,0.24288716373807917,-0.022404589509767536,0.058994174308728484,0.0005019656311011856,0.24288716373807917,0.022404589509767536,0.29201496251878556,0.026723209270938852,0.08527273833484773,0.0007141299137383922,0.29201496251878556,0.026723209270938852,1.3103551477973336,0.06290237346579564,-0.17276078067743317,0.003956708587630431,0.029846287340276164,0.06290237346579564,0.17276078067743317,0.552948074545966,0.531641101641274,0.3795358440456993,0.2826422609543474,0.14404745691548138,0.531641101641274,0.3795358440456993
2016-07-05,2016-07-01,376,1.31902924676614,1.1601148834028479,1.2220094254309273,1.0704400484420868,1.0485855061618954,0.9166284733226747,1.2804024001701357,1.239338160939559,0.03862684659600424,-0.12028751676728788,0.0014920332779512443,0.014469086690040564,0.03862684659600424,0.12028751676728788,0.07969108582658091,-0.07922327753671121,0.006350669160219485,0.006276327703658771,0.07969108582658091,0.07922327753671121,1.3079220876922313,-0.08591266226130401,-0.23748203925014444,0.00738098553682489,0.05639771896640714,0.08591266226130401,0.23748203925014444,0.5423224900595629,0.5062630161023325,0.3743059832631118,0.25630224147303055,0.14010496910656495,0.5062630161023325,0.3743059832631118
2016-07-06,2016-07-01,376,1.1982248069782717,1.2458674521615722,1.1362475791274906,1.1275312182395885,1.0295434428464416,0.9301515573155421,1.2880289640107883,1.2470105891032577,-0.08980415703251654,-0.042161511849216016,0.00806478662032089,0.0017775930814115824,0.08980415703251654,0.042161511849216016,-0.048785782124985966,-0.0011431369416854409,0.0023800525375466002,1.306762067445943e-06,0.048785782124985966,0.0011431369416854409,1.3016663403055562,-0.16541876117806553,-0.1741351220659677,0.02736336654968588,0.030323040736929475,0.16541876117806553,0.1741351220659677,0.5539102307946884,0.47563321205175324,0.37624132652085374,0.22622695240666807,0.14155753578217167,0.47563321205175324,0.37624132652085374
2016-07-07,2016-07-01,376,1.0809272384193418,1.1048938801421926,1.055109549324685,1.033069861741899,1.0125072581386123,0.9074936449942534,1.2941798303093885,1.2443351563624216,-0.21325259189004675,-0.18928595016719596,0.04547666794782283,0.03582917093069819,0.21325259189004675,0.18928595016719596,-0.16340791794307985,-0.13944127622022906,0.026702147646492317,0.01944386951392622,0.16340791794307985,0.13944127622022906,1.3039076607330984,-0.24879811140841346,-0.2708377989911994,0.061900500240393314,0.07335311336239735,0.24879811140841346,0.2708377989911994,0.5400230437541437,0.47248421438446864,0.3674706012401098,0.22324133284250852,0.13503464277576777,0.47248421438446864,0.3674706012401098
2016-07-08,2016-07-01,376,0.9592184909126175,1.0589564415321617,0.973711391665102,1.0015946323504181,0.9964232373842796,0.8996138361037859,1.3107187422646933,1.289394518471172,-0.35150025135207585,-0.2517623007325316,0.12355242670057251,0.06338425607013767,0.35150025135207585,0.2517623007325316,-0.33017602755855446,-0.2304380769390102,0.10901620917434732,0.053101707303349184,0.33017602755855446,0.2304380769390102,1.300953965742258,-0.32724257407715596,-0.29935933339183984,0.10708770228864291,0.08961601048880671,0.32724257407715596,0.29935933339183984,0.4990339715241871,0.4973892658600925,0.40057986457959877,0.2473960817928418,0.1604642279066097,0.4973892658600925,0.40057986457959877
2016-07-11,2016-07-01,376,1.0764774667081582,0.8521074195848292,1.0520795596411572,0.8549118452833603,1.0118901658365949,0.8603454463511911,1.3103551477973336,1.2694320409505186,-0.2338776810891754,-0.4582477282125045,0.05469876971165003,0.20999098041192138,0.2338776810891754,0.4582477282125045,-0.1929545742423604,-0.4173246213656895,0.03723146772105057,0.1741598395980161,0.1929545742423604,0.4173246213656895,1.2796903094967753,-0.22761074985561813,-0.42477846421341503,0.05180665344983677,0.18043674365950751,0.22761074985561813,0.42477846421341503,0.4923878069986645,0.5195023588379304,0.3679576393525266,0.2698827008381738,0.13539282435788405,0.5195023588379304,0.3679576393525266
2016-07-12,2016-07-01,376,0.9648313399376496,0.7838773307230638,0.9773926353026001,0.8044726865948052,0.9971281719222452,0.8457248661726414,1.3079220876922313,1.2590031475326433,-0.3430907477545817,-0.5240447569691675,0.11771126119479801,0.27462290730687383,0.3430907477545817,0.5240447569691675,-0.29417180759499373,-0.47512581680957955,0.08653705238370601,0.22574454179897013,0.29417180759499373,0.47512581680957955,1.2775593021747804,-0.3001666668721803,-0.4730866155799752,0.09010002790115446,0.22381094584091527,0.3001666668721803,0.4730866155799752,0.46611352868574185,0.5310146432365034,0.37961133748689957,0.28197655133159094,0.14410476754859275,0.5310146432365034,0.37961133748689957
2016-07-13,2016-07-01,376,0.9193103460417591,0.6827159099680411,0.9477624142289686,0.7274241715580899,0.9915158211857832,0.8220636582500427,1.3016663403055562,1.256787511282298,-0.38235599426379707,-0.6189504303375151,0.14619610634945682,0.38309963521499507,0.38235599426379707,0.6189504303375151,-0.33747716524053883,-0.5740716013142568,0.11389083705878995,0.32955820343551506,0.33747716524053883,0.5740716013142568,1.2488808307840373,-0.30111841655506877,-0.5214566592259474,0.09067230078863191,0.27191704745108586,0.30111841655506877,0.5214566592259474,0.46400643318721974,0.5275093879985635,0.35805722506282295,0.278266154426619,0.12820497641968906,0.5275093879985635,0.35805722506282295
2016-07-14,2016-07-01,376,0.8315813977077066,0.6732770298933914,0.8922412135705461,0.7200825356560874,0.9813843231172346,0.8197166509637309,1.3039076607330984,1.256864606669145,-0.4723262630253918,-0.6306306308397069,0.2230920987435316,0.3976949925532867,0.4723262630253918,0.6306306308397069,-0.42528320896143834,-0.5835875767757535,0.18086580782453843,0.34057445976699596,0.42528320896143834,0.5835875767757535,1.2495115111505628,-0.3572702975800167,-0.5294289754944754,0.12764206553291368,0.2802950400931299,0.3572702975800167,0.5294289754944754,0.4425043704867843,0.5388799526304502,0.3772122804769466,0.29039160334699626,0.14228910454261864,0.5388799526304502,0.3772122804769466
2016-07-15,2016-07-01,376,0.797967390403914,0.5999905148607352,0.8715870952978939,0.6620867066263327,0.977746003208313,0.8005441410334165,1.300953965742258,1.2592290921276572,-0.502986575338344,-0.7009634508815228,0.2529954949705956,0.491349759471733,0.502986575338344,0.7009634508815228,-0.46126170172374326,-0.659238577266922,0.2127623574770835,0.4345955017569155,0.46126170172374326,0.659238577266922,1.245723503852854,-0.3741364085549601,-0.5836367972265213,0.13997805220640402,0.34063191107683155,0.3741364085549601,0.5836367972265213,0.43157615921525844,0.5461698439930545,0.3689679818181581,0.29830149848739745,0.13613737160696465,0.5461698439930545,0.3689679818181581
2016-07-18,2016-07-01,376,0.7420476186435773,0.6231172583978427,0.8380865058724939,0.6805857835283836,0.9719983676754435,0.80678629020259,1.2796903094967753,1.2519634076212562,-0.537642690853198,-0.6565730510989326,0.2890596630278675,0.43108817142936157,0.537642690853198,0.6565730510989326,-0.509915788977679,-0.6288461492234135,0.26001411184872886,0.3954474793931157,0.509915788977679,0.6288461492234135,1.2323354094462513,-0.3942489035737574,-0.5517496259178677,0.15543219796910987,0.30442764970050695,0.3942489035737574,0.5517496259178677,0.43230844418442815,0.5396899234910153,0.3744778460181618,0.29126521351773793,0.1402336571584021,0.5396899234910153,0.3744778460181618
2016-07-19,2016-07-01,376,0.703277613902707,0.5856310622410659,0.815549467829411,0.6505032875516646,0.9682401418622375,0.7965715108911036,1.2775593021747804,1.2502488053202696,-0.5742816882720734,-0.6919282399337146,0.32979945748462286,0.47876468921776805,0.5742816882720734,0.6919282399337146,-0.5469711914175626,-0.6646177430792037,0.29917748424074786,0.4417167444156945,0.5469711914175626,0.6646177430792037,0.6816336763945265,0.1339157914348844,-0.0311303888428619,0.01793343919563146,0.0009691011095077807,0.1339157914348844,0.0311303888428619,0.43860814301326345,0.529631998848974,0.3579633678778401,0.28051005420475966,0.1281377727424459,0.529631998848974,0.3579633678778401
2016-07-20,2016-07-01,376,0.6698699289401331,0.6030026774769173,0.7966248597132323,0.6645069526471865,0.9651525487331218,0.8013678701326953,1.2488808307840373,1.2510790458821879,-0.5790109018439042,-0.6458781533071201,0.3352536244540913,0.4171585889194157,0.5790109018439042,0.6458781533071201,-0.5812091169420548,-0.6480763684052706,0.33780403761656314,0.420002979285364,0.5812091169420548,0.6480763684052706,0.6511901942522291,0.14543466546100314,0.013316758394957384,0.021151241917753902,0.00017733605414966796,0.14543466546100314,0.013316758394957384,0.43617292376291317,0.5289796249702087,0.3651949463697821,0.2798194436336226,0.13336734885402804,0.5289796249702087,0.3651949463697821
2016-07-21,2016-07-01,376,0.6639756044826015,0.5508426392661152,0.7933361282048565,0.6221147510176354,0.9646223856679812,0.786615914113933,1.2495115111505628,1.2553162196193983,-0.5855359066679613,-0.6986688718844476,0.34285229799747147,0.4881381925402867,0.5855359066679613,0.6986688718844476,-0.5913406151367968,-0.7044735803532831,0.3496837231103652,0.4962830254157736,0.5913406151367968,0.7044735803532831,0.6008488350680364,0.19248729313682011,0.021265915949598924,0.03705135801914011,0.0004522391811754059,0.19248729313682011,0.021265915949598924,0.43382963754820164,0.5307927481197796,0.3527862765657313,0.2817409414565478,0.12445815693311266,0.5307927481197796,0.3527862765657313
2016-07-22,2016-07-01,376,0.6648456794445786,0.6337655667771773,0.7938206114246602,0.6890404934048956,0.9647003677656395,0.8095986456654939,1.245723503852854,1.230252446386025,-0.5808778244082754,-0.6119579370756767,0.33741904688929125,0.3744925167499179,0.5808778244082754,0.6119579370756767,-0.5654067669414463,-0.5964868796088476,0.319684812103179,0.35579659754549986,0.5654067669414463,0.5964868796088476,0.5611085634806708,0.23271204794398936,0.12793192992422475,0.0541548972582856,0.01636657869413675,0.23271204794398936,0.12793192992422475,0.43443380584768704,0.5302665619179525,0.37516483981780685,0.28118262668828575,0.14074865703552067,0.5302665619179525,0.37516483981780685
2016-07-25,2016-07-01,376,0.6642268490822307,0.5756078499577235,0.793475993773316,0.642372118151097,0.9646448940961263,0.7937524081322206,1.2323354094462513,0.8543185034931021,-0.5681085603640206,-0.6567275594885278,0.32274733635888003,0.4312910873917578,0.5681085603640206,0.6567275594885278,-0.1900916544108714,-0.2787106535353786,0.03613483707666216,0.07767962839411785,0.1900916544108714,0.2787106535353786,0.5369156789574369,0.25656031481587915,0.1054564391936601,0.06582319513842302,0.011121060567406131,0.25656031481587915,0.1054564391936601,0.4346874953608002,0.5299573987353261,0.3590649127714204,0.2808548444743134,0.12892761158354774,0.5299573987353261,0.3590649127714204
2016-07-26,2016-07-01,376,0.6532021053134157,0.6313789531090013,0.7873654097910614,0.6871489062241128,0.9636647374461778,0.8089715935090911,0.6816336763945265,0.6976463704555567,-0.02843157108111083,-0.05025472328552527,0.0008083542341402576,0.002525537212504716,0.02843157108111083,0.05025472328552527,-0.04444426514214095,-0.06626741734655539,0.001975292704024925,0.00439137060178255,0.04444426514214095,0.06626741734655539,0.552948074545966,0.23441733524509545,0.1342008316781469,0.05495148706341147,0.018009863223106316,0.23441733524509545,0.1342008316781469,0.4325845735406006,0.5310801639055771,0.3763870199684905,0.28204614049397464,0.14166718880076087,0.5310801639055771,0.3763870199684905
2016-07-27,2016-07-01,376,0.6300956478429487,0.6187091007678964,0.774740577582209,0.6770742722662773,0.9616605735534355,0.8056108524217346,0.6511901942522291,0.6259781663992454,-0.021094546409280435,-0.0324810934843327,0.0004449798882132861,0.0010550214339379602,0.021094546409280435,0.0324810934843327,0.004117481443703275,-0.007269065631348992,1.6953653439240805e-05,5.283931515285912e-05,0.004117481443703275,0.007269065631348992,0.5423224900595629,0.23241808752264614,0.13475178220671435,0.054018167407684406,0.01815804280788578,0.23241808752264614,0.13475178220671435,0.4222761711323444,0.5393844024210911,0.3833346812893902,0.29093553357515756,0.14694547787923834,0.5393844024210911,0.3833346812893902
2016-07-28,2016-07-01,376,0.6167963024395932,0.6341984883155415,0.7675897385513054,0.6893834119578556,0.9605379415939255,0.8097121891258063,0.6008488350680364,0.5371799902769746,0.015947467371556723,0.03334965324750505,0.0002543217155668663,0.0011121993717288243,0.015947467371556723,0.03334965324750505,0.07961631216261855,0.09701849803856688,0.006338757162375523,0.009412588961659406,0.07961631216261855,0.09701849803856688,0.5539102307946884,0.21367950775661704,0.1354731811631672,0.045658932035110164,0.01835298281446832,0.21367950775661704,0.1354731811631672,0.45019507955166044,0.510342862042265,0.3595171095741459,0.2604498368374903,0.12925255207654843,0.510342862042265,0.3595171095741459
2016-07-29,2016-07-01,376,0.6047239583436363,0.6132278013918193,0.761174288382304,0.6726984168232153,0.9595385163608968,0.8041399424632633,0.5611085634806708,0.4685260873858302,0.043615394862965506,0.052119237911148475,0.001902302669052398,0.0027164149604388963,0.043615394862965506,0.052119237911148475,0.13619787095780617,0.14470171400598913,0.01854986005343922,0.02093858603627107,0.13619787095780617,0.14470171400598913,0.5400230437541437,0.22115124462816038,0.13267537306907162,0.04890787300058443,0.017602754619017336,0.22115124462816038,0.13267537306907162,0.44501791842820854,0.5145205979326883,0.3591220240350547,0.2647314456970111,0.12896862814703441,0.5145205979326883,0.3591220240350547
