refit_date,omega,alpha,beta,persistence,loglik,aic,bic,n_obs
2016-07-01,0.09729828723633764,0.20062205385618576,0.7024425654699357,0.9030646193261214,-496.79042321621756,1001.5808464324351,1017.2992030059947,376
2016-08-01,0.09763907542575487,0.22046414827557423,0.6761157439753542,0.8965798922509285,-513.8742775129354,1035.7485550258707,1051.6742118708887,396
2016-09-01,0.06742428049485139,0.22528991614539914,0.7049705632508503,0.9302604793962495,-526.7516883605573,1061.5033767211146,1077.654860400803,419
2016-10-01,0.09587318409603991,0.2077823656595702,0.6828827348061157,0.8906651004656859,-557.1539302626478,1122.3078605252956,1138.654959432945,440
2016-11-01,0.08532921872751596,0.20660473715207636,0.6915415844001446,0.898146321552221,-572.5788920106049,1153.1577840212099,1169.6913761931964,461
2016-12-01,0.0915456756594488,0.20440389338610507,0.6831225917597585,0.8875264851458636,-595.0186173097163,1198.0372346194326,1214.749011075635,482
2017-01-01,0.08605292775937533,0.200941983940861,0.6894971334879213,0.8904391174287822,-611.8095092017671,1231.6190184035343,1248.5013790839332,503
2017-02-01,0.07666326524279345,0.20155493883466064,0.6982484235228719,0.8998033623575326,-624.8261595591887,1257.6523191183774,1274.690644974637,523
2017-03-01,0.0667147531724322,0.20582405814848065,0.7055351485278587,0.9113592066763394,-634.5692831802199,1277.1385663604399,1294.3196303661985,542
2017-04-01,0.0677350782081897,0.1943961559159332,0.7102164245720479,0.9046125804879811,-654.5529534512161,1317.1059069024323,1334.453209827018,565
2017-05-01,0.06378466682069033,0.1952641567849489,0.7131404272786239,0.9084045840635728,-667.7017202279374,1343.4034404558747,1360.8830443871875,584
2017-06-01,0.06651935952614292,0.19901800953068494,0.7025555940163847,0.9015736035470696,-684.5666005223868,1377.1332010447736,1394.760720989051,606
2017-07-01,0.06257490771502582,0.19767578213607676,0.7077871589333189,0.9054629410693956,-699.3917267958876,1406.7834535917752,1424.553614257648,628
2017-09-01,0.05860451418905512,0.19315429933543202,0.7135109790758213,0.9066652784112533,-731.0763350478319,1470.1526700956638,1488.1877466435506,671
2017-10-01,0.05426960442646495,0.1948142015657994,0.7168864839771241,0.9117006855429235,-740.8600301622273,1489.7200603244546,1507.8726196195253,691
2017-11-01,0.04786744797106301,0.1956543475831502,0.7257783560657848,0.9214327036489349,-749.6676723324961,1507.3353446649921,1525.6132703466494,713
2017-12-01,0.04525554210214694,0.19475142009563692,0.7298099550727587,0.9245613751683956,-761.445472497827,1530.890944995654,1549.284981110112,734
2018-01-01,0.04311382111523492,0.1946510164838447,0.7312336049940229,0.9258846214778675,-771.1995819190768,1550.3991638381535,1568.9007333101854,754
2018-02-01,0.04279797436299807,0.1912126354408668,0.7345046750241137,0.9257173104649805,-789.4419811682114,1586.8839623364229,1605.4954144538362,775
2018-03-01,0.04729051382736715,0.22629801663380672,0.7059155332119565,0.9322135498457633,-832.3791284452742,1672.7582568905484,1691.466590735537,794
2018-04-01,0.04430918049248551,0.2192380419436927,0.7223126660126143,0.941550707956307,-869.5010624248124,1747.0021248496248,1765.8148773025882,815
2018-05-01,0.04385350794060425,0.2137948341985575,0.7266359123939223,0.9404307465924798,-899.7618308642506,1807.523661728501,1826.43817618084,836
2018-06-01,0.04427194013223226,0.21098800963339218,0.7275680266498176,0.9385560362832097,-921.8712599534471,1851.7425199068941,1870.760936304846,858
2018-07-01,0.04532149480270982,0.209980486820304,0.724608751254921,0.934589238075225,-939.4853225603335,1886.970645120667,1906.0857847114078,879
2018-08-01,0.045243942216586105,0.2098013795831411,0.7233830488251123,0.9331844284082533,-956.3061843063198,1920.6123686126396,1939.8219476659367,900
2018-09-01,0.044166980365385224,0.20834966210440697,0.7244189551925017,0.9327686172969086,-971.2046328729889,1950.4092657459778,1969.7197826839893,923
2018-10-01,0.04196815779126101,0.20657558691409356,0.7282133907053474,0.9347889776194409,-980.3227620480925,1968.645524096185,1988.0375451944903,942
2018-11-01,0.04513092950709394,0.20277441634550583,0.7343771438343834,0.9371515601798892,-1033.7723921742272,2075.5447843484544,2095.03329675381,965
