Date,Forecast_GARCH_h1,Forecast_EGARCH_h1,Forecast_GARCH_h5,Forecast_EGARCH_h5,Forecast_GARCH_h21,Forecast_EGARCH_h21,RealizedVolatility_YZ,RealizedVolatility_20d,Error_GARCH_h1,Error_EGARCH_h1
2016-07-01,1.526445108390536,1.2611533551426892,1.3732575212631293,1.1375943671199005,1.08458917618724,0.9324839185916652,1.2835579446524568,1.2344301458717504,0.24288716373807917,-0.022404589509767536
2016-07-05,1.31902924676614,1.1601148834028479,1.2220094254309273,1.0704400484420868,1.0485855061618954,0.9166284733226747,1.2804024001701357,1.239338160939559,0.03862684659600424,-0.12028751676728788
2016-07-06,1.1982248069782717,1.2458674521615722,1.1362475791274906,1.1275312182395885,1.0295434428464416,0.9301515573155421,1.2880289640107883,1.2470105891032577,-0.08980415703251654,-0.042161511849216016
2016-07-07,1.0809272384193418,1.1048938801421926,1.055109549324685,1.033069861741899,1.0125072581386123,0.9074936449942534,1.2941798303093885,1.2443351563624216,-0.21325259189004675,-0.18928595016719596
2016-07-08,0.9592184909126175,1.0589564415321617,0.973711391665102,1.0015946323504181,0.9964232373842796,0.8996138361037859,1.3107187422646933,1.289394518471172,-0.35150025135207585,-0.2517623007325316
2016-07-11,1.0764774667081582,0.8521074195848292,1.0520795596411572,0.8549118452833603,1.0118901658365949,0.8603454463511911,1.3103551477973336,1.2694320409505186,-0.2338776810891754,-0.4582477282125045
2016-07-12,0.9648313399376496,0.7838773307230638,0.9773926353026001,0.8044726865948052,0.9971281719222452,0.8457248661726414,1.3079220876922313,1.2590031475326433,-0.3430907477545817,-0.5240447569691675
2016-07-13,0.9193103460417591,0.6827159099680411,0.9477624142289686,0.7274241715580899,0.9915158211857832,0.8220636582500427,1.3016663403055562,1.256787511282298,-0.38235599426379707,-0.6189504303375151
2016-07-14,0.8315813977077066,0.6732770298933914,0.8922412135705461,0.7200825356560874,0.9813843231172346,0.8197166509637309,1.3039076607330984,1.256864606669145,-0.4723262630253918,-0.6306306308397069
2016-07-15,0.797967390403914,0.5999905148607352,0.8715870952978939,0.6620867066263327,0.977746003208313,0.8005441410334165,1.300953965742258,1.2592290921276572,-0.502986575338344,-0.7009634508815228
