refit_date,omega,alpha,gamma,beta,nu,loglik,aic,bic,n_obs
2016-07-01,-0.022514710764518244,0.08783404307811143,-0.3269952589366442,0.9239032223685975,11.420683426660716,-477.15501704468994,966.3100340893799,989.8875689497193,376
2016-08-01,-0.03273014068058062,0.0773354859361692,-0.3389874054076289,0.9165176114857658,10.756243375878396,-491.8050696367977,995.6101392735955,1019.4986245411224,396
2016-09-01,-0.03078844788910546,0.12189818351399385,-0.31698250841741776,0.9297442230444658,9.687744376692507,-503.7729522094378,1019.5459044188756,1043.7731299384084,419
2016-10-01,-0.030624081880214923,0.10808117824193235,-0.3190920525124722,0.9285421201664399,8.393879893444035,-531.283525022387,1074.567050044774,1099.087698406248,440
2016-11-01,-0.03299850734496531,0.1384434816815674,-0.3044072489935922,0.9281769795732887,7.715136642611761,-547.9193530623761,1107.8387061247522,1132.639094382732,461
2016-12-01,-0.03639378841905865,0.12648686830419636,-0.3100194456059737,0.9296912141410413,7.963695950726242,-565.2123883743798,1142.4247767487595,1167.492441433063,482
2017-01-01,-0.036013822946065505,0.13172695938060452,-0.2723763052719453,0.9291852137154576,7.992637526376396,-583.4380065133873,1178.8760130267747,1204.199554047373,503
2017-02-01,-0.034227242484507654,0.1325064978314023,-0.2593069833744334,0.9378695672656412,7.871380702486697,-595.2533720875415,1202.506744175083,1228.0642329594725,523
2017-03-01,-0.02390834694101882,-0.049314345646932316,-0.22219312700299976,0.9905390026894797,7.220438849054899,-598.986623349457,1209.973246698914,1235.744842707552,542
2017-04-01,-0.033158621222457094,0.12232485870949912,-0.23387649325623525,0.9451444383877353,7.13639281498424,-622.1846797032053,1256.3693594064107,1282.3903137932894,565
2017-05-01,-0.02546736140429622,-0.08794388798088816,-0.21054647048570188,0.989910202224781,7.356884119337062,-630.9404191555313,1273.8808383110627,1300.100244208032,584
2017-06-01,-0.022458471812385805,-0.08163145509609461,-0.18162514505650104,0.9905766340394649,5.299433824693966,-641.8904338310228,1295.7808676620457,1322.2221475784615,606
2017-07-01,-0.02631213837095404,0.10781243980056011,-0.21075719655043337,0.9604444751737643,6.1488096962882635,-661.2248250739141,1334.4496501478282,1361.1048911466373,628
2017-09-01,-0.011865707415058803,-0.08625946988810192,-0.2330493997691885,0.9814168723662889,3.9993161020691823,-680.3320549028572,1372.6641098057144,1399.7167246275444,671
2017-10-01,-0.025375276772339302,0.1474289429580742,-0.20922097089057334,0.9646822581373359,5.117523170166938,-693.4210719244475,1398.842143848895,1426.070982791501,691
2017-11-01,-0.029295594420485013,0.14778612481243703,-0.21256493490727218,0.9616555655779011,5.253356417295772,-699.4155614269325,1410.831122853865,1438.2480113763509,713
2017-12-01,-0.02830883503877033,0.1387193078769274,-0.20941505718291512,0.9646420801376521,5.211562017962671,-709.467861341634,1430.935722683268,1458.5267768549552,734
2018-01-01,-0.02859174280940924,0.13560246268083279,-0.20761627592396412,0.9645775587440999,5.3495452963316055,-716.8261137035336,1445.6522274070671,1473.404581615115,754
2018-02-01,-0.03836578462619304,0.22281218973763417,-0.19773940346364072,0.9456837228595804,5.525047203612268,-741.7984383864098,1495.5968767728195,1523.5140549489397,775
2018-03-01,-0.036135673538335814,0.2442659923888379,-0.21441557232729827,0.9411263251270883,5.304021843387155,-781.4633159474122,1574.9266318948244,1602.9891326623072,794
2018-04-01,-0.03476917736355965,0.24322780477681075,-0.2219596893831185,0.9404734555901019,5.277681744133769,-815.4323081413813,1642.8646162827627,1671.083744962208,815
2018-05-01,-0.035029822256067544,0.2387306241703287,-0.21918485781568844,0.9416110015975113,5.440905409801823,-846.2390126528335,1704.478025305667,1732.849796984175,836
2018-06-01,-0.03705262642335438,0.23541905861770843,-0.22254021227341034,0.9403316993378746,5.602953526094095,-867.7129978008361,1747.4259956016722,1775.9536201986,858
2018-07-01,-0.03872479228346176,0.23197272521079187,-0.22604915349831248,0.9395232335155209,5.568392071967377,-883.3069655365146,1778.613931073029,1807.2866404591402,879
2018-08-01,-0.040099827775781464,0.22855931276081154,-0.22229901826524698,0.9398977644328556,5.805401727787057,-901.1260266686286,1814.2520533372572,1843.0664219172031,900
2018-09-01,-0.04230421071215309,0.2237631130430988,-0.22081870912879595,0.9405411067871926,5.9414101007188105,-915.8171926084539,1843.6343852169077,1872.600160623925,923
2018-10-01,-0.04139771520338721,0.22220300647992783,-0.2171173917928866,0.9424246865359047,5.922022586142684,-924.2686345529667,1860.5372691059333,1889.6253007533915,942
2018-11-01,-0.03846169635864359,0.22030198127862732,-0.22677666732942092,0.9413341354958631,5.545405801565458,-964.2678422751694,1940.5356845503388,1969.7684531583727,965
2018-12-01,-0.035008914608552745,0.214829809600656,-0.22129686617567765,0.9450798699217126,5.571541745838177,-998.9177932971526,2009.8355865943051,2039.197524721921,986
2019-01-01,-0.02805574862361094,0.21263019030629537,-0.21323335620230321,0.9506200488021055,5.374335155800816,-1040.7544195450164,2093.508839090033,2122.985296012992,1005
2019-02-01,-0.02498390696157274,0.2065221808577998,-0.20417814820003918,0.954921527869796,5.434181046765385,-1073.154020412168,2158.308040824336,2187.90857897872,1026
2019-03-01,-0.025969290151182378,0.2019450115254856,-0.20705448430985499,0.9551574196963749,5.414921948673582,-1086.5317546107697,2185.0635092215393,2214.774142207933,1045
2019-04-01,-0.024729697505668103,0.1992491360115968,-0.20310004562151748,0.9554262902268411,5.346446780687531,-1111.3340929737535,2234.668185947507,2264.498197575862,1066
2019-05-01,-0.026411877722113484,0.19728203173187447,-0.204527011360799,0.9562173798873865,5.302172011539774,-1121.4438131954093,2254.8876263908187,2284.834687713546,1087
2019-06-01,-0.025171452135899056,0.1946143008613418,-0.2072418821568502,0.9540351468426135,5.260329307525859,-1155.702747441841,2323.405494883682,2353.4727788077844,1109
2019-07-01,-0.026692068386376517,0.1896030785328392,-0.20716039826135882,0.9544115582340695,5.270312990158159,-1175.6679316943776,2363.335863388755,2393.510388773653,1129
2019-08-01,-0.027837631233845164,0.1877196645815346,-0.2067854680660181,0.9539333115515072,5.455694857073919,-1193.4704766517357,2398.9409533034714,2429.2312717558025,1151
2019-09-01,-0.02673357768694695,0.19172435502067445,-0.21165796549425156,0.9533579214320117,5.434584386999887,-1235.057638705307,2482.115277410614,2512.5191965025347,1173
2019-10-01,-0.029534505592262977,0.19640048021562673,-0.21864400360341282,0.9499044310091945,5.476643767677499,-1250.2189122843574,2512.437824568715,2542.9431831013026,1193
2019-11-01,-0.03236854975927798,0.19886081923510585,-0.22555427369382075,0.9474839968820982,5.57535638459232,-1275.4741556487106,2562.9483112974212,2593.568243672578,1216
2019-12-01,-0.03413169252515913,0.1975009586078723,-0.2275966331307035,0.9473235159146609,5.626017990937852,-1283.7197472853918,2579.4394945707836,2610.1573083988897,1236
2020-01-01,-0.0359467868537339,0.19538584178031476,-0.227893130103785,0.9467759255807474,5.713296509843672,-1297.9120585820738,2607.8241171641475,2638.643016415689,1257
2020-02-01,-0.03662911216540758,0.2010701992260249,-0.23281086917465899,0.9434276704437938,5.754755711283843,-1322.559670725753,2657.119341451506,2688.037651261131,1278
2020-03-01,-0.03639118576099383,0.20790710738398907,-0.24404625112134232,0.9409183849472484,5.640041785309186,-1353.8796102414599,2719.7592204829198,2750.7660755888182,1297
2020-04-01,-0.02777315193251311,0.2294102881329923,-0.2449617102052528,0.9482219394737713,5.7210814034853446,-1428.4793748794823,2868.9587497589646,2900.0665246752683,1319
2020-05-01,-0.020726061895902113,0.23390968997525763,-0.22691201166183297,0.9570743913827318,5.803263669822952,-1479.2380850076042,2970.4761700152085,3001.6787193728783,1340
2020-06-01,-0.019551743443697815,0.23258317553164384,-0.22311084331883477,0.9591036730651649,5.8686262650263314,-1515.3362052804941,3042.6724105609883,3073.963850433369,1360
2020-07-01,-0.010854761136608973,0.23907230307960892,-0.19522299750123492,0.9648751826709072,5.319464372814201,-1565.298850171183,3142.597700342366,3173.9854223683315,1382
2020-08-01,-0.012394496610317095,0.23710764836233283,-0.19412056874252362,0.9645019580141835,5.436243856609588,-1594.0918069576264,3200.183613915253,3231.6660974227675,1404
2020-09-01,-0.013085643865314932,0.23557754934066788,-0.19068348255393958,0.964776547510101,5.506440264868906,-1613.0808477738021,3238.1616955476043,3269.733258103821,1425
2020-10-01,-0.008651372745009102,0.25797336333387466,-0.1777714704048046,0.9634319922462635,5.225220238328072,-1660.1272128450287,3332.2544256900574,3363.9137641063694,1446
2020-11-01,-0.007450649504836031,0.25323347785674266,-0.1769681334336437,0.9647556676255975,5.219789614594669,-1697.5555507748238,3407.1111015496476,3438.8610388046945,1468
2020-12-01,-0.008194678382431406,0.2532885253022971,-0.17632806657408207,0.9649570062771132,5.334947787681099,-1727.54318645183,3467.08637290366,3498.917502196018,1488
2021-01-01,-0.009367331812996623,0.2511502989470393,-0.17665814175056505,0.9651168001511399,5.361153943240584,-1745.6459516574944,3503.2919033149888,3535.2110928938428,1510
2021-02-01,-0.007298623713882712,0.2535117527880634,-0.17849797893151656,0.9644779582182021,5.276096671236842,-1775.3088396570272,3562.6176793140544,3594.6118945496287,1529
2021-03-01,-0.00745500384117467,0.25065496181056257,-0.1803459310385537,0.9640730396280845,5.1938033306127664,-1798.8942735606656,3609.7885471213312,3641.8568614462292,1548
2021-04-01,-0.008474142040814136,0.2516120121885344,-0.18271887983321822,0.9632039005843919,5.256264370033896,-1831.0120932162145,3674.024186432429,3706.1809922619627,1571
