model,alpha,alpha_se,beta,beta_se,R2,F_stat,F_pval
M1 HAR+TS,0.012080188667664879,0.04188214065936868,0.9809041297615951,0.054469428496852754,0.4644138851580639,0.06282918032828223,0.9391137873178497
M4 Log-HAR,-0.0834921727114796,0.04862799947945722,1.230455340715463,0.07147732570098723,0.44207692255524167,10.00388137750992,5.8559323585449796e-05
M5 Asym-HAR,0.023557522386327447,0.03998266141163142,0.9623793243954651,0.051500221863983356,0.48285405889493105,0.27408735364399395,0.7604182381449915
M6 HAR+Ret,-0.016545275399324225,0.04009356670550245,1.0253352412916894,0.0522514795811972,0.507288881750476,0.11842174234936512,0.8883546264289908
M7 Roll-HAR,-0.009916012518082424,0.04433462113241118,1.0021403146640537,0.057621714641555216,0.4471313235272295,0.09577967613042399,0.9086864754747515
M8 KitchSink,-0.01259190927079142,0.03984725946135745,1.018713914475464,0.051816836383324835,0.5082258680856045,0.06527833422194682,0.9368173530425769
M2 EGARCH,-0.07205050871700956,0.03985915172994199,0.8037814924178923,0.03804514953365996,0.5440981022459523,120.03101173266056,0.0
M2b Corrected EGARCH,-0.05422947583407155,0.03914447453903385,1.092193708363966,0.051755855361661746,0.5435285592346839,1.6921873557902825,0.1855229245819614
M3 Combined,-0.054252030060952174,0.03687254351210092,1.0883869020924348,0.048291525248368494,0.5759418183115876,1.7314435147809841,0.1784446363752501
