model,RMSE,MAE,QLIKE,rank_by_RMSE
M3 Combined,0.32907895025718975,0.21174556596758443,0.34083234731290585,1
M2b Corrected EGARCH,0.34138859952422596,0.22050513163199548,0.35889264826796397,2
M8 KitchSink,0.3528130832021257,0.22124394319653756,0.368024670034513,3
M6 HAR+Ret,0.3531991934200823,0.22115161206355075,0.36753559077819,4
M5 Asym-HAR,0.3620017365614846,0.22225222712746065,0.3736964615438687,5
M1 HAR+TS,0.3681914107105193,0.22655189844094442,0.3879024592050103,6
M7 Roll-HAR,0.37411768403990436,0.2307933887354439,0.38734560242920485,7
M4 Log-HAR,0.3856468631740555,0.22499185582122747,0.4484641460028001,8
M2 EGARCH,0.4352031908626732,0.3383555919722393,0.42202972628141355,9
