Model,Horizon,RMSE,MAE,QLIKE,DM_stat,DM_p,N
"GARCH(1,1)",h=1,0.2660687686768562,0.17688512059501146,0.12252796726731471,--,--,1736
"EGARCH(1,1,1,t)",h=1,0.2951392623094813,0.20245119904090492,0.17645481835278423,3.2875,0.001,1736
Adaptive v1,h=1,0.4376475815499862,0.31894377034434696,0.4738291586820296,15.8567,0.0,1736
