Date,prob_crisis,VIX,RV_21d
2011-04-01,2.1091666799443737e-07,17.399999618530273,14.942423485386728
2011-04-04,2.1091666799443737e-07,17.5,14.684156703638601
2011-04-05,2.1091666799443737e-07,17.25,14.369679517102368
2011-04-06,2.1091666799443737e-07,16.899999618530273,14.113504130280186
2011-04-07,2.1091666799443737e-07,17.110000610351562,14.138888136717936
2011-04-08,2.1091666799443737e-07,17.8700008392334,12.409232053180666
2011-04-11,2.1091666799443737e-07,16.59000015258789,12.316734683507095
2011-04-12,2.1091666799443737e-07,17.09000015258789,12.427702888981953
2011-04-13,2.1091666799443737e-07,16.920000076293945,11.612271897346167
2011-04-14,2.1091666799443737e-07,16.270000457763672,9.079383372899272
2011-04-15,2.1091666799443737e-07,15.319999694824219,8.187839053210658
2011-04-18,2.1091666799443737e-07,16.959999084472656,9.305814371736572
2011-04-19,2.1091666799443737e-07,15.829999923706055,7.929937523811824
2011-04-20,2.1091666799443737e-07,15.069999694824219,8.95929092574803
2011-04-21,2.1091666799443737e-07,14.6899995803833,9.038894402314924
2011-04-25,2.1091666799443737e-07,15.770000457763672,8.586113871274277
2011-04-26,2.1091666799443737e-07,15.619999885559082,8.957916144254481
2011-04-27,2.1091666799443737e-07,15.350000381469727,9.029565532045341
2011-04-28,2.1091666799443737e-07,14.619999885559082,8.86526036081225
2011-04-29,2.1091666799443737e-07,14.75,8.656136143714566
2011-05-02,2.1091666799443737e-07,15.989999771118164,8.663439241500672
2011-05-03,2.1091666799443737e-07,16.700000762939453,8.753334404099352
2011-05-04,2.1091666799443737e-07,17.079999923706055,9.137747419441743
2011-05-05,2.1091666799443737e-07,18.200000762939453,9.730489436200646
2011-05-06,2.1091666799443737e-07,18.399999618530273,9.789234176599795
2011-05-09,2.1091666799443737e-07,17.15999984741211,9.81526728043853
2011-05-10,2.1091666799443737e-07,15.90999984741211,10.078737760841134
2011-05-11,2.1091666799443737e-07,16.950000762939453,10.781090416041076
2011-05-12,2.1091666799443737e-07,16.030000686645508,10.435546270240186
2011-05-13,2.1091666799443737e-07,17.06999969482422,10.888669326201422
2011-05-16,2.1091666799443737e-07,18.239999771118164,11.177908227866713
2011-05-17,2.1091666799443737e-07,17.549999237060547,11.124360992665434
2011-05-18,2.1091666799443737e-07,16.229999542236328,10.640073393416543
2011-05-19,2.1091666799443737e-07,15.520000457763672,10.5297530634977
2011-05-20,2.1091666799443737e-07,17.43000030517578,9.97786587307092
2011-05-23,2.1091666799443737e-07,18.270000457763672,10.607768555266516
2011-05-24,2.1091666799443737e-07,17.81999969482422,10.606933763565015
2011-05-25,2.1091666799443737e-07,17.06999969482422,10.182759268082357
2011-05-26,2.1091666799443737e-07,16.09000015258789,10.02899651771349
2011-05-27,2.1091666799443737e-07,15.979999542236328,10.062027891682751
2011-05-31,2.1091666799443737e-07,15.449999809265137,10.74867367095993
2011-06-01,2.1091666799443737e-07,18.299999237060547,13.217471593315434
2011-06-02,2.1091666799443737e-07,18.09000015258789,13.196906609117088
2011-06-03,2.1091666799443737e-07,17.950000762939453,13.41271611369866
2011-06-06,2.1091666799443737e-07,18.489999771118164,13.532080163174154
2011-06-07,2.1091666799443737e-07,18.06999969482422,13.359231723346799
2011-06-08,2.1091666799443737e-07,18.790000915527344,13.21205724529432
