Date,garch_fc_vol,egarch_fc_vol,sigma_v1_h1,sigma_v1_h5,sigma_v1_h21,rv_target
2016-07-01,1.526445108390536,1.2611533551426892,0.793021536232741,0.864152486419431,0.9498937067109929,1.2835579446524568
2016-07-05,1.31902924676614,1.160114883402848,0.7346076218217739,0.7761476846414471,0.9314300547867693,1.2804024001701355
2016-07-06,1.1982248069782715,1.2458674521615722,0.8525408080654275,0.8786654597268625,0.963124982055607,1.2880289640107885
2016-07-07,1.0809272384193418,1.1048938801421926,0.7871485042080779,0.8167087519929793,0.9062942031761689,1.2941798303093883
2016-07-08,0.9592184909126176,1.0589564415321615,0.7415280507193076,0.7429983598796536,0.8553854143207195,1.310718742264693
2016-07-11,1.0764774667081582,0.8521074195848292,0.7127955396925152,0.7431731223922964,0.8290853967252556,1.3103551477973336
2016-07-12,0.9648313399376496,0.7838773307230638,0.6687713645656733,0.6838699650117801,0.7854022563151617,1.3079220876922313
2016-07-13,0.9193103460417592,0.6827159099680411,0.6306151513306109,0.643474275192139,0.7506353166902188,1.3016663403055562
2016-07-14,0.8315813977077066,0.6732770298933914,0.5620141662614295,0.5870899436881423,0.7417435290122127,1.3039076607330984
2016-07-15,0.797967390403914,0.5999905148607352,0.5424402285106763,0.5779814553957142,0.7444837910423073,1.300953965742258
2016-07-18,0.7420476186435773,0.6231172583978427,0.5126809070369063,0.5754913216963874,0.7169279932451585,1.279690309496775
2016-07-19,0.703277613902707,0.5856310622410659,0.4710320819186873,0.5560088456891215,0.6806637809605435,1.2775593021747804
2016-07-20,0.6698699289401331,0.6030026774769173,0.44786067054928635,0.5457067299190007,0.6888544068479009,1.248880830784037
2016-07-21,0.6639756044826015,0.5508426392661152,0.4396997009802137,0.5362172821415068,0.6603768976118604,1.2495115111505628
2016-07-22,0.6648456794445786,0.6337655667771773,0.5114868888577148,0.5847996835878,0.7181769345749552,1.245723503852854
2016-07-25,0.6642268490822307,0.5756078499577235,0.49799366734026446,0.5696993619821826,0.7012028143420381,1.2323354094462513
2016-07-26,0.6532021053134157,0.6313789531090013,0.5352973425486071,0.5995143465033869,0.7033678705864738,0.6816336763945265
2016-07-27,0.6300956478429487,0.6187091007678964,0.5696892266654804,0.6362047979877601,0.7367053864357432,0.6511901942522291
2016-07-28,0.6167963024395932,0.6341984883155415,0.5884526887915481,0.6480524207059375,0.774627728109804,0.6008488350680364
2016-07-29,0.6047239583436363,0.6132278013918193,0.5477678861805728,0.5819578399970282,0.7670287851433045,0.5611085634806708
2016-08-01,0.5719598282036998,0.5834575817166533,0.5538193151315055,0.5819671251427946,0.7834015153753865,0.5369156789574369
2016-08-02,0.5681784415074953,0.6006990466899275,0.6097335610598885,0.6038975510514762,0.7880408635679217,0.552948074545966
2016-08-03,0.6498298602795235,0.7483813551712284,0.6664166859835,0.650926590303948,0.8500746660045341,0.5423224900595629
2016-08-04,0.6291651720230096,0.6958837634866349,0.6436451186230827,0.6318799847279576,0.8673299519394705,0.5539102307946884
2016-08-05,0.6049250633742033,0.671543866635328,0.6549423011091596,0.6684397651858222,0.8972955298227987,0.5400230437541437
2016-08-08,0.6879736525544444,0.5658196962621121,0.5605656053961634,0.6141674170812883,0.8238855180307166,0.4990339715241871
2016-08-09,0.6483728518299388,0.5795913665879544,0.5855990700376013,0.6351500260039216,0.8628076670110187,0.4923878069986645
2016-08-10,0.6179667868370033,0.5717036136628141,0.5982094277666598,0.6443742541716673,0.8967027596592323,0.4661135286857418
2016-08-11,0.6128848790492005,0.6264639646686245,0.6655703136345467,0.708180594016399,0.9484612613296776,0.4640064331872197
2016-08-12,0.6235999773707135,0.5648854997082258,0.6495876629114575,0.6628407264535632,0.9471659030113219,0.4425043704867843
2016-08-15,0.6039944351064487,0.5845921956451752,0.6758374099005959,0.7189140829041997,0.9933996138648509,0.4315761592152584
2016-08-16,0.5971497286842704,0.5475739308537276,0.6537124847302299,0.7136016718022751,1.0039272248948965,0.4323084441844281
2016-08-17,0.640388907214342,0.6697931640805362,0.7387324403546605,0.7551370015835281,1.0515565576585166,0.4386081430132634
2016-08-18,0.6156277100944803,0.6376951406927476,0.7304963170290878,0.7840927735263628,1.0766597649226426,0.4361729237629131
2016-08-19,0.6003604765680578,0.6040147820580356,0.7537238898662075,0.8074874421322806,1.0440300813932801,0.4338296375482016
2016-08-22,0.5915997790635724,0.6331055033277843,0.801216538592436,0.871100096789217,1.0389308391572134,0.434433805847687
2016-08-23,0.5787695756871325,0.6294084843819572,0.8208043538158167,0.9188784074503454,1.039982579734016,0.4346874953608002
2016-08-24,0.5736167388994624,0.5993195146094903,0.8508100439678117,0.9017702371056392,1.0140014832458775,0.4325845735406006
2016-08-25,0.6248120256853494,0.7142059009167215,0.9422166511376616,0.9856903355307661,1.0195315866121872,0.4222761711323444
2016-08-26,0.6039856384701475,0.7160306654400006,1.0115621260261707,1.0493252515720723,1.0559250908759075,0.4501950795516604
2016-08-29,0.5975136887139689,0.7430797636871124,0.879085744038755,0.9359582802941687,0.967574908046879,0.4450179184282085
2016-08-30,0.6177319327942008,0.6672754722468974,0.8245586983979213,0.8814859140516396,0.9284886590629663,0.4451922458606541
2016-08-31,0.6049812585298266,0.6942817943621585,0.8957932274907104,0.939632225878399,0.9760310798525651,0.4300083017718941
2016-09-01,0.5511179531084142,0.6439632951153976,0.9757551646264747,1.0097643688800795,1.0091610759733958,0.4432546390962337
2016-09-02,0.5309524911953828,0.6233064595025887,1.0342428233368401,1.069880840329041,1.0099778356431817,0.4149721462356716
2016-09-06,0.5505431779064165,0.563986098996643,0.9817749304872536,1.0703914168508557,1.0231379273656536,0.419605287401701
2016-09-07,0.5440293525342382,0.5233249386671484,0.9922447289701162,1.0884921942433334,0.9941660138508465,0.4218483592188088
2016-09-08,0.5260508990195508,0.5159844581273606,1.0563587669518602,1.1497018361362241,0.9875193500240789,0.4219728502299067
2016-09-09,0.5285408621208582,0.5590926146466144,1.1371281894346728,1.2176711505072173,1.023965476495891,0.4697866968036763
2016-09-12,1.279079559145729,1.414665992812184,1.3451482955871215,1.4044182691102245,1.0646798263844426,0.517937833293837
2016-09-13,1.284382385844247,1.1754669145376857,1.2088634758911556,1.2205470982190092,1.0331554747736247,0.5544825800770267
2016-09-14,1.316224394904588,1.4300588766338178,1.358949330187236,1.286328491189566,1.0546297268607592,0.5725964158298648
2016-09-15,1.1359039677990137,1.317209183965953,1.4269497786148608,1.3051114360013039,1.0987113625410143,0.5903761344221155
2016-09-16,1.0863360525697756,1.1273641078227048,1.351138862459482,1.1915245202942086,1.0374788560360764,0.5883555696318086
2016-09-19,0.970290924412221,1.131940024277731,1.3747455070631642,1.2084730926023692,1.0347687663370047,0.607488629080469
2016-09-20,0.855150666642976,1.0522573329748512,1.3748365289825148,1.2564516518893165,1.024678731354791,0.6155561798212202
2016-09-21,0.7637544798505371,0.9843615032386912,1.3972495274792076,1.255681000498486,1.0157769641231384,0.6382398095169088
2016-09-22,0.8592017389440821,0.8284749682291384,1.240070620885588,1.13523148052361,0.9557118945143073,0.6470154502494488
2016-09-23,0.8151636777037138,0.7322402986496325,1.1560193074904874,1.122710958084943,0.9484830748743206,0.6437243408498443
2016-09-26,0.7844941531654177,0.8283871649981164,1.2431863499391065,1.1891148026088134,0.9534357469111419,0.6494214341720067
2016-09-27,0.8168809285277647,0.9776290836259384,1.2933821804566177,1.2364540861067863,0.9645266975834882,0.6323400378140486
2016-09-28,0.7823551296020897,0.8646002613455278,1.0586652086415742,1.060794495007614,0.8571026217041695,0.6459692829566119
2016-09-29,0.7379639680925023,0.7758029882735515,1.0502689625928274,1.0056657231654906,0.8449865795864007,0.6615179130519223
2016-09-30,0.8101019264026877,0.9587981595947036,1.1243625258693257,1.0529767512059578,0.9049598285264734,0.6715371878472643
2016-10-03,0.8112997580920096,0.8314656985470072,1.0289405548397974,0.994442990180643,0.904770204280498,0.6646405434839328
2016-10-04,0.7495542522134241,0.8467249442731726,1.1079001473291257,1.0136545542019053,0.952815166143101,0.6663742003758528
2016-10-05,0.736788766754555,0.9209065571371176,1.1464557982122068,1.096062827805169,1.006401325241871,0.6671680538132779
2016-10-06,0.7070586074990521,0.8320166928630781,1.0920158661539372,1.049130804974898,1.0234158451645097,0.6696604562252604
2016-10-07,0.6613911535335365,0.7894735027749563,1.1177752667054013,1.101520919857533,1.0623533572372326,0.6809151005120115
2016-10-10,0.652156545843469,0.8324461709355121,1.1472389440180686,1.1217148757877515,1.1133506008271201,0.656121917804466
2016-10-11,0.6587162894687599,0.746067883356683,1.1370118687217694,1.0630407015794987,1.1225316910422758,0.6420090850429618
