Date,stress_score
2013-04-03,0.6446117089814954
2013-04-04,0.6441164823260067
2013-04-05,0.696308680380262
2013-04-08,0.5391319304821197
2013-04-09,0.5604193286596154
2013-04-10,0.5771737813903633
2013-04-11,0.5199421154867837
2013-04-12,0.5477607994236344
2013-04-15,0.7532297175946882
2013-04-16,0.6343422247669833
2013-04-17,0.7190914647291975
2013-04-18,0.7307672279737719
2013-04-19,0.6752811239915845
2013-04-22,0.5833160912730149
2013-04-23,0.6434614024507818
2013-04-24,0.5277255277941953
2013-04-25,0.5854149290314129
2013-04-26,0.5458152741060657
2013-04-29,0.5243751597033199
2013-04-30,0.5463377192345037
2013-05-01,0.6468812233157651
2013-05-02,0.5040457578115872
2013-05-03,0.5252276784445519
2013-05-06,0.3865575171114375
2013-05-07,0.411485718026773
2013-05-08,0.425468783375877
2013-05-09,0.4844453607418822
2013-05-10,0.4609703004146329
2013-05-13,0.4051588874000327
2013-05-14,0.40648592005509704
2013-05-15,0.4168384502653873
2013-05-16,0.43645140362964896
2013-05-17,0.43926968160025454
2013-05-20,0.36385366376588596
2013-05-21,0.40320173136056686
2013-05-22,0.5120426181164389
2013-05-23,0.5189693122874689
2013-05-24,0.5006406338137528
2013-05-28,0.4736991944509821
2013-05-29,0.5203213174657607
2013-05-30,0.4321335606510122
2013-05-31,0.5636319104996629
2013-06-03,0.5765462839822023
2013-06-04,0.6023993663382073
2013-06-05,0.6687684409431953
2013-06-06,0.6355938966274303
2013-06-07,0.5845018570574783
2013-06-10,0.4755787427208427
2013-06-11,0.6032787038006276
2013-06-12,0.6365736799897672
2013-06-13,0.5908213131028942
2013-06-14,0.5897201404104152
2013-06-17,0.5520763033680155
2013-06-18,0.520489631544678
2013-06-19,0.6187521183464604
2013-06-20,0.6820139134759581
2013-06-21,0.6555556894183475
2013-06-24,0.65999433515561
2013-06-25,0.5976853241522879
2013-06-26,0.5482701917359541
2013-06-27,0.5302752381108649
2013-06-28,0.5783244053876418
2013-07-01,0.5131191444495967
2013-07-02,0.5559594027658084
2013-07-03,0.45146820911940994
2013-07-05,0.44741423206071945
2013-07-08,0.4319118304319478
2013-07-09,0.45770516418839186
2013-07-10,0.45640517588981505
2013-07-11,0.42129241094905673
2013-07-12,0.344164773167873
2013-07-15,0.35591152719865743
2013-07-16,0.36801648910957313
2013-07-17,0.3797843304496699
2013-07-18,0.4004235679405009
2013-07-19,0.33505911361375346
2013-07-22,0.29511089757560477
2013-07-23,0.30519253179736994
2013-07-24,0.3740960890013616
2013-07-25,0.37967134611864206
2013-07-26,0.3891795209047347
2013-07-29,0.3649238349058521
2013-07-30,0.3813386344894765
2013-07-31,0.4692847304577532
2013-08-01,0.38271754460724994
2013-08-02,0.3339468887288692
2013-08-05,0.3269563945031638
2013-08-06,0.38583305059812406
2013-08-07,0.42857287771985875
2013-08-08,0.4405456436350657
2013-08-09,0.537100379494317
2013-08-12,0.497430608576746
2013-08-13,0.4929549875352596
2013-08-14,0.5105826659435474
2013-08-15,0.5925854899153397
2013-08-16,0.5743889571019628
2013-08-19,0.5491605093150254
2013-08-20,0.5276098965839058
2013-08-21,0.6348620724212702
2013-08-22,0.5161693043245086
2013-08-23,0.4837657317623005
2013-08-26,0.5114195052258984
2013-08-27,0.6279989277399123
2013-08-28,0.564370496686376
2013-08-29,0.5799209426519835
2013-08-30,0.6274775159763175
2013-09-03,0.6243735442625677
2013-09-04,0.5311299197440673
2013-09-05,0.47095775020972824
2013-09-06,0.59268528685765
2013-09-09,0.4892560898507858
2013-09-10,0.4848124966150275
2013-09-11,0.456559881309587
2013-09-12,0.45523120795435285
2013-09-13,0.4263691248218473
2013-09-16,0.4603794506314456
2013-09-17,0.4115106995346005
2013-09-18,0.4659781611190273
2013-09-19,0.4470641604441079
2013-09-20,0.44144838725897034
2013-09-23,0.4622288363800718
2013-09-24,0.47881539100796067
2013-09-25,0.506548847879057
2013-09-26,0.3897630189517804
2013-09-27,0.4903782992269467
2013-09-30,0.597455994983588
2013-10-01,0.5182406274455875
2013-10-02,0.5355716151894337
2013-10-03,0.6414309390333351
2013-10-04,0.5176060900712269
2013-10-07,0.5749831440543626
2013-10-08,0.7065188504768042
2013-10-09,0.6984523650462201
2013-10-10,0.6030395315308316
2013-10-11,0.5031714152047831
2013-10-14,0.5100526919403011
2013-10-15,0.6163257933175773
2013-10-16,0.5574846656966953
2013-10-17,0.5249969285969407
2013-10-18,0.5111531680190422
2013-10-21,0.4412654395044508
2013-10-22,0.47022678219784103
2013-10-23,0.4390923920898848
2013-10-24,0.3444897191728488
2013-10-25,0.38686488691604964
2013-10-28,0.3520496230343493
2013-10-29,0.3546220258032671
2013-10-30,0.46742279823142224
2013-10-31,0.46315729289745633
2013-11-01,0.44541183124533723
2013-11-04,0.3374835793468951
2013-11-05,0.33113287064833324
2013-11-06,0.3234675125344406
2013-11-07,0.46326130007264904
2013-11-08,0.42416662926582754
2013-11-11,0.30617061234616866
2013-11-12,0.3488500997452409
2013-11-13,0.36605946173601245
2013-11-14,0.38706151379394865
2013-11-15,0.3863909839794684
2013-11-18,0.4477494300150638
2013-11-19,0.4304568792429016
2013-11-20,0.5034191212228604
2013-11-21,0.39542861643086985
2013-11-22,0.35810997981809384
2013-11-25,0.3846939639805973
2013-11-26,0.4104952248427996
2013-11-27,0.3847947777189995
2013-11-29,0.3867136641347584
2013-12-02,0.46142520772749585
2013-12-03,0.5160625227358735
2013-12-04,0.5313046538362666
2013-12-05,0.5123357260131275
2013-12-06,0.5057943848938165
2013-12-09,0.35938189926049685
2013-12-10,0.4730707329522759
2013-12-11,0.587337336575623
2013-12-12,0.5624364072785644
2013-12-13,0.5787767699420494
2013-12-16,0.5542716636735423
2013-12-17,0.5630231047619901
2013-12-18,0.5718144114379288
2013-12-19,0.5378973268495696
2013-12-20,0.5456042028052422
2013-12-23,0.417735128883002
2013-12-24,0.37195865932049177
2013-12-26,0.3607428051555684
2013-12-27,0.362441344804898
2013-12-30,0.3926601212528394
2013-12-31,0.41943641067062654
2014-01-02,0.5026635468878035
2014-01-03,0.41980858074434396
2014-01-06,0.4772236358038524
2014-01-07,0.4032212397453487
2014-01-08,0.4440586772489921
2014-01-09,0.4414973720525828
2014-01-10,0.44884014778892417
2014-01-13,0.5371678578046092
2014-01-14,0.41362646084784194
2014-01-15,0.38655719176187314
2014-01-16,0.36188142282062913
2014-01-17,0.4464941551657266
2014-01-21,0.45841684928789733
2014-01-22,0.39028445254671484
2014-01-23,0.5813164149520571
2014-01-24,0.6995930687202495
2014-01-27,0.6839558692101156
2014-01-28,0.6133442963442118
2014-01-29,0.7051202849214429
2014-01-30,0.6395341643039516
2014-01-31,0.7087701912520247
2014-02-03,0.7671904364431827
2014-02-04,0.7147893167223498
2014-02-05,0.7161452879337794
2014-02-06,0.6462266347220432
2014-02-07,0.6438329535627242
2014-02-10,0.5561305756327777
2014-02-11,0.5639959434919534
2014-02-12,0.5041454347279269
2014-02-13,0.5261961803545339
2014-02-14,0.5123331755635707
2014-02-18,0.48582016757888863
2014-02-19,0.5820620341806926
2014-02-20,0.5283229456305646
2014-02-21,0.5511098761962897
2014-02-24,0.5136403503826475
2014-02-25,0.4608679872931582
2014-02-26,0.4346532361151933
2014-02-27,0.42539337638100466
2014-02-28,0.47311123172886926
2014-03-03,0.5611851349257018
2014-03-04,0.46508880725043084
2014-03-05,0.3752801849080818
2014-03-06,0.3647027431849454
2014-03-07,0.41305729391563023
2014-03-10,0.35869101401570874
2014-03-11,0.4434731526057721
2014-03-12,0.45853936898129266
2014-03-13,0.6217529571488095
2014-03-14,0.655678544667912
2014-03-17,0.522810713565538
2014-03-18,0.5097893358935384
2014-03-19,0.5899530355068475
2014-03-20,0.4921322636782251
2014-03-21,0.5879408719061513
2014-03-24,0.5587888551380126
2014-03-25,0.514149984679459
2014-03-26,0.5701506817674453
2014-03-27,0.602099024502373
2014-03-28,0.5263963236459421
2014-03-31,0.500156163908187
2014-04-01,0.413530506953147
2014-04-02,0.4235039080814615
2014-04-03,0.4361446065737229
2014-04-04,0.6060448328726459
2014-04-07,0.6294979862419056
2014-04-08,0.5754066570454979
2014-04-09,0.5071372078562479
2014-04-10,0.6650815708201604
2014-04-11,0.6784838908135082
2014-04-14,0.6158140756053577
2014-04-15,0.6389139611192074
2014-04-16,0.5409528637298925
2014-04-17,0.4977790252165312
2014-04-21,0.45115786659596163
2014-04-22,0.4502510235337566
2014-04-23,0.44400737519774564
2014-04-24,0.4634942457628301
2014-04-25,0.5061616964457268
