Model,Horizon,RMSE,MAE,QLIKE,DM_stat,DM_p,N
"GARCH(1,1)",h=1,0.2660687686768562,0.17688512059501146,0.12252796726731471,--,--,1736
"EGARCH(1,1,1,t)",h=1,0.2951392623094813,0.20245119904090492,0.17645481835278423,3.2875,0.001,1736
Adaptive v5,h=1,0.2999215108848579,0.19942825877882636,0.18027355638689083,3.4844,0.0005,1736
