Date,mod_a,mod_b,mod_c,garch_fc_vol,egarch_fc_vol,rv_yz
2016-07-01,0.8807738252744982,0.9453318803786728,1.6103705382620346,1.526445108390536,1.2611533551426892,1.2835579446524568
2016-07-05,0.8218388197342901,0.8986887205717718,1.4299164729305491,1.31902924676614,1.160114883402848,1.2804024001701355
2016-07-06,0.9477087946207681,1.0190417368963371,1.3495970045398369,1.1982248069782715,1.2458674521615722,1.2880289640107885
2016-07-07,0.8160242893422637,0.9050728565716285,1.2045620415392975,1.0809272384193418,1.1048938801421926,1.2941798303093883
2016-07-08,0.8147618227111576,0.9070669452407519,1.0805134079007992,0.9592184909126176,1.0589564415321615,1.310718742264693
2016-07-11,0.5698288796422242,0.6840976570157028,0.9736646010557173,1.0764774667081582,0.8521074195848292,1.3103551477973336
2016-07-12,0.5245902322781654,0.6383297165997729,0.8827246887185718,0.9648313399376496,0.7838773307230638,1.3079220876922313
2016-07-13,0.4264385000411649,0.5402527356721802,0.8058260475707908,0.9193103460417592,0.6827159099680411,1.3016663403055562
2016-07-14,0.45912005330222044,0.5635322684750719,0.741321460448564,0.8315813977077066,0.6732770298933914,1.3039076607330984
2016-07-15,0.389526200427565,0.49394243245849284,0.687549182683787,0.797967390403914,0.5999905148607352,1.300953965742258
2016-07-18,0.4467886458555368,0.5410919874012233,0.6484640007586241,0.7420476186435773,0.6231172583978427,1.279690309496775
2016-07-19,0.42325902498214446,0.5168808149627439,0.6111165619941643,0.703277613902707,0.5856310622410659,1.2775593021747804
2016-07-20,0.4669261872564542,0.5560924611264122,0.5841435102653773,0.6698699289401331,0.6030026774769173,1.248880830784037
2016-07-21,0.413695938478632,0.5073986423880245,0.5590026263997889,0.6639756044826015,0.5508426392661152,1.2495115111505628
2016-07-22,0.5186855192030201,0.5983825915088592,0.5873506333914691,0.6648456794445786,0.6337655667771773,1.245723503852854
2016-07-25,0.4557017787644587,0.5414538861209433,0.5615814758615518,0.6642268490822307,0.5756078499577235,1.2323354094462513
2016-07-26,0.5338191537794225,0.6093664726589518,0.5663986048423818,0.6532021053134157,0.6313789531090013,0.6816336763945265
2016-07-27,0.5434763617018453,0.6154761815074296,0.544775749503275,0.6300956478429487,0.6187091007678964,0.6511901942522291
2016-07-28,0.5780799759225541,0.6193414171129555,0.5315991305852924,0.6167963024395932,0.6341984883155415,0.6008488350680364
2016-07-29,0.5665110786523545,0.5822866563206547,0.511722318292576,0.6047239583436363,0.6132278013918193,0.5611085634806708
2016-08-01,0.5438645419027025,0.5407752558770088,0.5009982695926721,0.5719598282036998,0.5834575817166533,0.5369156789574369
2016-08-02,0.5720156743981524,0.5408991487465892,0.4955584516839925,0.5681784415074953,0.6006990466899275,0.552948074545966
2016-08-03,0.7121711367996532,0.6420572650834784,0.636444513386717,0.6498298602795235,0.7483813551712284,0.5423224900595629
2016-08-04,0.6524600576417348,0.570016198829366,0.5991902925353995,0.6291651720230096,0.6958837634866349,0.5539102307946884
2016-08-05,0.6307299951049286,0.534436857029425,0.5694756502365438,0.6049250633742033,0.671543866635328,0.5400230437541437
2016-08-08,0.4924630156648974,0.4028626437075284,0.5459907929795697,0.6879736525544444,0.5658196962621121,0.4990339715241871
