feature,coef,se,t,p
intercept,0.0720340440774252,0.0119274746214321,6.039337442646004,1.7022163678603872e-09
rv1,0.356442073484529,0.0194497562890872,18.32630024698663,0.0
rv2,0.1712234834875672,0.0214433746553617,7.98491311369941,1.7763568394002505e-15
rv5,0.2276678198069733,0.0385167834108745,5.910873121941316,3.714790919318034e-09
rv22,0.1237139636444819,0.026459396607756,4.6756154525541165,3.0366176957397077e-06
fomc_day,0.2239839743171288,0.0312342776979687,7.171095054062833,8.961720254774265e-13
