subsample,model,N,RMSE,MAE,QLIKE
overall,M1,376,0.3684048731499691,0.2259564502261966,0.3903617871365782
overall,M1-macro,376,0.3670050372510561,0.222755550819389,0.38157936874322
announcement_days_only,M1,12,0.2431450249039684,0.1981767807089768,0.5931234746246586
announcement_days_only,M1-macro,12,0.1665132522471851,0.1381513928826451,0.1409588327680704
