Model,Horizon,RMSE,MAE,QLIKE,DM_stat,DM_p,N
"GARCH(1,1)",h=1,0.2660687686768562,0.17688512059501146,0.12252796726731471,--,--,1736
"EGARCH(1,1,1,t)",h=1,0.2951392623094813,0.20245119904090492,0.17645481835278423,3.2875,0.001,1736
Adaptive v2,h=1,0.3010676549039309,0.20540438112680026,0.24112290533950403,3.3649,0.0008,1736
