,refit_date,n_train,garch_fc_vol,egarch_fc_vol,garch_fc_h5,egarch_fc_h5,garch_fc_h21,egarch_fc_h21,rv_yz,rv_20d,garch_err_yz,egarch_err_yz,garch_sqerr_yz,egarch_sqerr_yz,garch_abserr_yz,egarch_abserr_yz,garch_err_20d,egarch_err_20d,garch_sqerr_20d,egarch_sqerr_20d,garch_abserr_20d,egarch_abserr_20d,rv_yz_h5,garch_err_h5,egarch_err_h5,garch_sqerr_h5,egarch_sqerr_h5,garch_abserr_h5,egarch_abserr_h5,rv_yz_h21,garch_err_h21,egarch_err_h21,garch_sqerr_h21,egarch_sqerr_h21,garch_abserr_h21,egarch_abserr_h21,har_fc_vol,target_gk
2016-07-01,2016-07-01,376,1.526445108390536,1.2611533551426892,1.3732575212631293,1.1375943671199005,1.08458917618724,0.9324839185916652,1.2835579446524568,1.2344301458717504,0.2428871637380791,-0.0224045895097675,0.0589941743087284,0.0005019656311011,0.2428871637380791,0.0224045895097675,0.2920149625187855,0.0267232092709388,0.0852727383348477,0.0007141299137383,0.2920149625187855,0.0267232092709388,1.3103551477973336,0.0629023734657956,-0.1727607806774331,0.0039567085876304,0.0298462873402761,0.0629023734657956,0.1727607806774331,0.552948074545966,0.531641101641274,0.3795358440456993,0.2826422609543474,0.1440474569154813,0.531641101641274,0.3795358440456993,0.8122934402609504,0.3826663410664602
2016-07-05,2016-07-01,376,1.31902924676614,1.160114883402848,1.2220094254309273,1.0704400484420868,1.0485855061618954,0.9166284733226748,1.2804024001701355,1.239338160939559,0.0386268465960042,-0.1202875167672878,0.0014920332779512,0.0144690866900405,0.0386268465960042,0.1202875167672878,0.0796910858265809,-0.0792232775367112,0.0063506691602194,0.0062763277036587,0.0796910858265809,0.0792232775367112,1.3079220876922313,-0.085912662261304,-0.2374820392501444,0.0073809855368248,0.0563977189664071,0.085912662261304,0.2374820392501444,0.5423224900595629,0.5062630161023325,0.3743059832631118,0.2563022414730305,0.1401049691065649,0.5062630161023325,0.3743059832631118,0.5476464850763926,0.4361475277970414
2016-07-06,2016-07-01,376,1.1982248069782715,1.2458674521615722,1.1362475791274906,1.1275312182395885,1.0295434428464416,0.930151557315542,1.2880289640107885,1.2470105891032577,-0.0898041570325165,-0.042161511849216,0.0080647866203208,0.0017775930814115,0.0898041570325165,0.042161511849216,-0.0487857821249859,-0.0011431369416854,0.0023800525375466,1.306762067445943e-06,0.0487857821249859,0.0011431369416854,1.3016663403055562,-0.1654187611780655,-0.1741351220659677,0.0273633665496858,0.0303230407369294,0.1654187611780655,0.1741351220659677,0.5539102307946884,0.4756332120517532,0.3762413265208537,0.226226952406668,0.1415575357821716,0.4756332120517532,0.3762413265208537,0.5390202665521978,0.7531350124262804
2016-07-07,2016-07-01,376,1.0809272384193418,1.1048938801421926,1.055109549324685,1.033069861741899,1.0125072581386123,0.9074936449942534,1.2941798303093883,1.2443351563624216,-0.2132525918900467,-0.1892859501671959,0.0454766679478228,0.0358291709306981,0.2132525918900467,0.1892859501671959,-0.1634079179430798,-0.139441276220229,0.0267021476464923,0.0194438695139262,0.1634079179430798,0.139441276220229,1.3039076607330984,-0.2487981114084134,-0.2708377989911994,0.0619005002403933,0.0733531133623973,0.2487981114084134,0.2708377989911994,0.5400230437541437,0.4724842143844686,0.3674706012401098,0.2232413328425085,0.1350346427757677,0.4724842143844686,0.3674706012401098,0.6543504696828989,0.6738456789419099
2016-07-08,2016-07-01,376,0.9592184909126176,1.0589564415321615,0.973711391665102,1.001594632350418,0.9964232373842796,0.8996138361037859,1.310718742264693,1.289394518471172,-0.3515002513520758,-0.2517623007325316,0.1235524267005725,0.0633842560701376,0.3515002513520758,0.2517623007325316,-0.3301760275585544,-0.2304380769390102,0.1090162091743473,0.0531017073033491,0.3301760275585544,0.2304380769390102,1.300953965742258,-0.3272425740771559,-0.2993593333918398,0.1070877022886429,0.0896160104888067,0.3272425740771559,0.2993593333918398,0.4990339715241871,0.4973892658600925,0.4005798645795987,0.2473960817928418,0.1604642279066097,0.4973892658600925,0.4005798645795987,0.6420003302021101,0.5471738643818147
2016-07-11,2016-07-01,376,1.0764774667081582,0.8521074195848292,1.0520795596411572,0.8549118452833603,1.0118901658365949,0.8603454463511911,1.3103551477973336,1.2694320409505186,-0.2338776810891754,-0.4582477282125045,0.05469876971165,0.2099909804119213,0.2338776810891754,0.4582477282125045,-0.1929545742423604,-0.4173246213656895,0.0372314677210505,0.1741598395980161,0.1929545742423604,0.4173246213656895,1.279690309496775,-0.2276107498556181,-0.424778464213415,0.0518066534498367,0.1804367436595075,0.2276107498556181,0.424778464213415,0.4923878069986645,0.5195023588379304,0.3679576393525266,0.2698827008381738,0.135392824357884,0.5195023588379304,0.3679576393525266,0.5924660488465464,0.365846275829955
2016-07-12,2016-07-01,376,0.9648313399376496,0.7838773307230638,0.9773926353026,0.8044726865948052,0.9971281719222452,0.8457248661726414,1.3079220876922313,1.2590031475326433,-0.3430907477545817,-0.5240447569691675,0.117711261194798,0.2746229073068738,0.3430907477545817,0.5240447569691675,-0.2941718075949937,-0.4751258168095795,0.086537052383706,0.2257445417989701,0.2941718075949937,0.4751258168095795,1.2775593021747804,-0.3001666668721803,-0.4730866155799752,0.0901000279011544,0.2238109458409152,0.3001666668721803,0.4730866155799752,0.4661135286857418,0.5310146432365034,0.3796113374868995,0.2819765513315909,0.1441047675485927,0.5310146432365034,0.3796113374868995,0.5361502451323841,0.6047511488040092
2016-07-13,2016-07-01,376,0.9193103460417592,0.6827159099680411,0.9477624142289686,0.7274241715580899,0.9915158211857832,0.8220636582500427,1.3016663403055562,1.256787511282298,-0.382355994263797,-0.6189504303375151,0.1461961063494568,0.383099635214995,0.382355994263797,0.6189504303375151,-0.3374771652405388,-0.5740716013142568,0.1138908370587899,0.329558203435515,0.3374771652405388,0.5740716013142568,1.248880830784037,-0.3011184165550687,-0.5214566592259474,0.0906723007886319,0.2719170474510858,0.3011184165550687,0.5214566592259474,0.4640064331872197,0.5275093879985635,0.3580572250628229,0.278266154426619,0.128204976419689,0.5275093879985635,0.3580572250628229,0.6245337090105962,0.32930581046105084
2016-07-14,2016-07-01,376,0.8315813977077066,0.6732770298933914,0.8922412135705461,0.7200825356560874,0.9813843231172346,0.8197166509637309,1.3039076607330984,1.256864606669145,-0.4723262630253918,-0.6306306308397069,0.2230920987435316,0.3976949925532867,0.4723262630253918,0.6306306308397069,-0.4252832089614383,-0.5835875767757535,0.1808658078245384,0.3405744597669959,0.4252832089614383,0.5835875767757535,1.2495115111505628,-0.3572702975800167,-0.5294289754944754,0.1276420655329136,0.2802950400931299,0.3572702975800167,0.5294289754944754,0.4425043704867843,0.5388799526304502,0.3772122804769466,0.2903916033469962,0.1422891045426186,0.5388799526304502,0.3772122804769466,0.5106591495487474,0.3204344266452595
2016-07-15,2016-07-01,376,0.797967390403914,0.5999905148607352,0.8715870952978939,0.6620867066263327,0.977746003208313,0.8005441410334165,1.300953965742258,1.2592290921276572,-0.502986575338344,-0.7009634508815228,0.2529954949705956,0.491349759471733,0.502986575338344,0.7009634508815228,-0.4612617017237432,-0.659238577266922,0.2127623574770835,0.4345955017569155,0.4612617017237432,0.659238577266922,1.245723503852854,-0.3741364085549601,-0.5836367972265213,0.139978052206404,0.3406319110768315,0.3741364085549601,0.5836367972265213,0.4315761592152584,0.5461698439930545,0.3689679818181581,0.2983014984873974,0.1361373716069646,0.5461698439930545,0.3689679818181581,0.482757729899856,0.48450446914845446
