date,actual,M4_before,M4_after
2025-02-24,0.5881866242372483,0.5199221091934397,0.5658038692884318
2025-02-25,0.9444909365048862,0.5431426634630594,0.5910735764627458
2025-02-26,0.9047966158371155,0.6506145959984223,0.7080296246730181
2025-02-27,1.0079341642549853,0.7280198153796076,0.7922656512904166
2025-02-28,1.162612388277234,0.7820443391077322,0.8510576972937234
2025-03-03,1.6372519033217299,0.8515206412014568,0.9266651005054524
2025-03-04,1.5758033738832995,1.0237675659946368,1.1141123638507298
2025-03-05,1.2691872248855978,1.0949748775465575,1.1916035335572912
2025-03-06,1.198675575476941,1.0467382546727686,1.1391101554516057
2025-03-07,1.3495043417043935,1.0136412065048388,1.1030923797419123
2025-03-10,1.5742270034332668,1.0617137788508868,1.1554072302918041
2025-03-11,1.4703681947215175,1.1346481865864118,1.2347779078824113
2025-03-12,1.135380702105245,1.1417876292978917,1.2425473876550364
2025-03-13,0.9053771017130573,1.048487831393312,1.1410141277209103
2025-03-14,1.3763905340659452,0.9456363735419488,1.0290862989456921
2025-03-17,0.7844344466788685,1.055081018347544,1.1481891461009435
2025-03-18,0.6229559816489394,0.910279418089389,0.9906091850711721
2025-03-19,1.0633096873707888,0.7580117536569903,0.8249042993200838
2025-03-20,0.9658313334589435,0.8699892349670811,0.9467634991465878
2025-03-21,0.6898582520213281,0.9151184735431548,0.9958752744546102
2025-03-24,0.496730545592366,0.7950701587070284,0.8652330112486762
2025-03-25,0.33401315174019164,0.6743919604861152,0.7337921809701428
2025-03-26,0.8736551598193741,0.5530593811489868,0.6017726682369963
2025-03-27,0.7419973152130416,0.6921929627915965,0.753161089662015
2025-03-28,0.8932205942987066,0.7302935952496159,0.7946176132059102
2025-03-31,1.405473840042248,0.7666425088389738,0.8341681270634708
2025-04-01,1.1056445212415345,0.9525032283353828,1.0363993971658654
2025-04-02,1.1915565198361682,1.0043646990512525,1.092828809043014
2025-04-03,1.1069893947030318,1.0114557515240206,1.10054443906864
2025-04-04,1.7929399439684177,1.0187549806952587,1.1084865819273788
2025-04-07,5.506178961625043,1.212748015546282,1.3195664590269491
2025-04-08,3.9204256343254915,1.955994422323932,2.1282777631096064
2025-04-09,3.6903155364446882,2.205608139139421,2.399877373416445
2025-04-10,3.155879870901543,2.232504051116011,2.429142268410533
2025-04-11,1.773139814298192,2.261686290553474,2.460894869830889
2025-04-14,1.2442660599293136,1.8810418396894024,2.0467233818250135
2025-04-15,0.8063423729178759,1.4565441143630142,1.584836037468805
2025-04-16,2.243396676406214,1.1179205548503572,1.2163866270049766
2025-04-17,0.9622639348749216,1.4023781501012798,1.5258991530176502
2025-04-21,1.5936167343836005,1.1660031778154858,1.268704351473272
2025-04-22,1.0712559454361394,1.2144612713637493,1.3214306178492938
2025-04-23,1.3983672274854904,1.1420841931564127,1.2426785905687108
2025-04-24,1.0674367404653475,1.2252948031757442,1.3336734722922923
2025-04-25,0.8364848084757647,1.1305797855971191,1.2305808075352724
2025-04-28,1.096413624666469,1.0169863110080095,1.106939865541269
2025-04-29,0.6400742965958788,1.04905053378589,1.1418402039885525
2025-04-30,1.7648631376813666,0.8980968747431335,0.9775345282532207
2025-05-01,0.7537923132142923,1.1557801466323103,1.2580101681411573
