subsample,loss,N,dm_stat,p_value
overall,mse,376,1.408057529768619,0.15994249262554838
overall,qlike,376,1.4281465162610372,0.15408198392592043
crisis,mse,30,1.2439512827732067,0.22347890459294906
crisis,qlike,30,1.4638035390253223,0.15400381681238962
calm,mse,346,1.325456960978664,0.1858966752061717
calm,qlike,346,0.14996119849342923,0.8808828584812312
