date,actual,M1 HAR+TS,M3 Combined,crisis
2025-02-24,0.5881866242372542,0.5739603782574679,0.7408892654765199,False
2025-02-25,0.9444909365048862,0.5814221254428545,0.7334658470113843,False
2025-02-26,0.9047966158371156,0.7215050904501011,0.8001497356535846,False
2025-02-27,1.0079341642549853,0.7939979206452117,0.769558305723844,False
2025-02-28,1.162612388277234,0.8540170207417538,0.9259584555447422,True
2025-03-03,1.6372519033217243,0.9476045254122824,0.9018047202453802,True
2025-03-04,1.5758033738832995,1.193808494134076,1.1496130630673504,True
2025-03-05,1.2691872248855978,1.2798795243021472,1.2286514652741998,True
2025-03-06,1.198675575476941,1.1916978666942384,1.078270210107508,True
2025-03-07,1.34950434170441,1.1374237159631742,1.1643384387448434,True
2025-03-10,1.5742270034332668,1.1941557767094186,1.1063103448667315,True
2025-03-11,1.4703681947215177,1.2925688369611823,1.4054526132481435,True
2025-03-12,1.1353807021052291,1.2888700959974335,1.3922115142296656,False
2025-03-13,0.9053771017130368,1.1572201831170117,1.216391051550048,False
2025-03-14,1.3763905340659452,1.020679421140443,1.1991468524335294,True
2025-03-17,0.7844344466788503,1.154526334583835,1.184367200115799,False
2025-03-18,0.6229559816489348,0.9779364285875471,1.0326390188182653,False
2025-03-19,1.0633096873707888,0.7942357105065957,1.0047730568866435,False
2025-03-20,0.9658313334589436,0.920224876740223,1.0080560155035094,False
2025-03-21,0.6898582520213179,0.9554773678447724,0.9927854475620812,False
2025-03-24,0.4967305455923468,0.8128689297674387,0.8782044409240751,False
2025-03-25,0.3340131517401923,0.6924062083235069,0.7591099421487612,False
2025-03-26,0.8736551598193741,0.5924449371750805,0.6621223736149571,False
2025-03-27,0.7419973152130572,0.74228065536996,0.8546562554513156,False
2025-03-28,0.8932205942986979,0.7583618874040083,0.8540817925649407,False
2025-03-31,1.4054738400422284,0.8026635090072114,1.0536170948694257,True
2025-04-01,1.1056445212415509,1.0500142692167742,1.0879960460406943,False
2025-04-02,1.1915565198361682,1.0635587323806028,0.993072107414104,True
2025-04-03,1.1069893947030318,1.066845122011099,0.9223275084182808,False
2025-04-04,1.7929399439684175,1.0684806896190089,1.610694725968833,True
