regime,N,mean,median,min,max,p10,p90,frac_above_0.95,frac_above_0.99
crisis,45,0.6165540028520508,0.6145944982675495,0.5998312193351399,0.6456563062257954,0.6024949067764436,0.6295183089025942,0.0,0.0
calm,331,0.5000399529504395,0.4976190656155009,0.3784736753815977,0.6189091358802356,0.4118436065274681,0.5864251074461351,0.0,0.0
