subsample,model,N,RMSE,MAE,QLIKE
overall,M2 raw,376,0.426523588036907,0.33211272043535633,0.415427574630876
overall,M2b pooled,376,0.33918544605085155,0.21924985529719057,0.3589435760451701
overall,M2c regime,376,0.3335275787489524,0.21665672656885251,0.3391533995288169
crisis,M2 raw,38,0.6644918049266068,0.4885578934329504,0.3685924297103509
crisis,M2b pooled,38,0.8335427084990757,0.6341017568448928,1.1315321102657434
crisis,M2c regime,38,0.8078947579815038,0.6290272278510951,1.1135504414288413
calm,M2 raw,338,0.39081138445467456,0.3145242098616623,0.42069306429649717
calm,M2b pooled,338,0.22331176855553742,0.17260970068531875,0.2720845100677092
calm,M2c regime,338,0.22442637659281733,0.17029554595132226,0.2520910102027786
