date,actual,crisis,M1_HAR_TS,M2_EGARCH_raw,M2b_Corrected_EGARCH,M3_Combined,M9_Regime,M9_weight_w,M9_active_c,M9_active_k,M1_HAR_TS_sq_err,M1_HAR_TS_abs_err,M2b_Corrected_EGARCH_sq_err,M2b_Corrected_EGARCH_abs_err,M3_Combined_sq_err,M3_Combined_abs_err,M9_Regime_sq_err,M9_Regime_abs_err
2025-02-24,0.5881866242372483,False,0.5701072920542876,1.0541046053221714,0.7650357750507231,0.7349763601223767,0.6600831216639154,0.4615837984604498,0.9000000000000002,1.0,0.0003268622521818407,0.01807933218296076,0.03127562214344713,0.17684915081347474,0.021547226561225735,0.14678973588512834,0.00516910634222274,0.07189649742666704
2025-02-25,0.9444909365048862,False,0.581197934003773,1.0657237125961903,0.7736704575009813,0.7320916241901072,0.6641907988914545,0.4311933120619438,0.9000000000000002,1.0,0.1319818056662739,0.3632930025011133,0.029179636047123533,0.17082047900390496,0.045113467871791046,0.21239931231477904,0.07856816714610877,0.28030013761343175
2025-02-26,0.9047966158371143,False,0.7169569017549837,1.0842333449735875,0.7874257998074614,0.7947779774056053,0.7524150585626315,0.5031745605166441,0.9000000000000002,1.0,0.035283758186456585,0.18783971408213063,0.013775908455466635,0.11737081602965294,0.01210410080232312,0.11001863843150905,0.023220138997396507,0.15238155727448288
2025-02-27,1.007934164254994,False,0.7951543573979328,0.997554155276498,0.7230105861056617,0.771778507091582,0.7591397286650536,0.49920634987288987,0.9000000000000002,1.0,0.04527524620612823,0.2127798068570611,0.08118144538541863,0.2849235781493322,0.05576949441028294,0.23615565716341191,0.06189867118051695,0.2487944355899403
2025-02-28,1.1626123882772232,True,0.8538083552025697,1.2713287689338522,0.9264648443479752,0.9271469288795864,0.890799660754462,0.5091259705359921,0.9000000000000002,1.0,0.09535993084317172,0.30880403307465354,0.055765662503816156,0.23614754392924808,0.05544398256934017,0.23546545939763686,0.07388215884336283,0.2718127275227612
2025-03-03,1.6372519033217243,True,0.947956256553983,1.1567116790554388,0.8412877174713,0.9035443993795503,0.8929082613514423,0.5160658960546075,0.9000000000000002,1.0,0.47512848865295887,0.6892956467677414,0.6335589851565288,0.7959641858504243,0.5383267013410553,0.733707503942174,0.5540474573415833,0.744343641970282
2025-03-04,1.5758033738832995,True,1.1930868229694211,1.4393226132958814,1.051308643914901,1.1507129243372742,1.119077255680482,0.5220095770906968,0.9000000000000002,1.0,0.14647195834341523,0.38271655091387835,0.2750947217646232,0.5244947299683984,0.18070189029524186,0.42509044954602526,0.20859874704861403,0.4567261182028175
2025-03-05,1.2691872248855978,True,1.2865140613141186,1.547125089634969,1.1314215242409928,1.2375838147943523,1.2058614506888123,0.5200289591450735,0.9000000000000002,1.0,0.0003002192606207169,0.017326836428520842,0.018979388274098896,0.13776570064460492,0.000998775529395435,0.031603410091245454,0.004010153677622254,0.06332577419678542
2025-03-06,1.198675575476957,True,1.1997334305859222,1.398426481216032,1.0209168844083054,1.0901967422452725,1.1074523094533801,0.5160658960546075,0.9000000000000002,1.0,1.1190574315639396e-06,0.0010578551089652777,0.031598152250440284,0.1777586910686515,0.011767657259307594,0.10847883323168439,0.008321684264008257,0.09122326602357678
2025-03-07,1.3495043417044101,True,1.1415351550440151,1.6434790095981213,1.2030264661782957,1.171653943127183,1.1731468281176107,0.5140835752316958,0.9000000000000002,1.0,0.04325118260018621,0.207969186660395,0.02145576801864388,0.14647787552611446,0.03163076427407853,0.17785039857722706,0.031101972598518136,0.1763575135867994
2025-03-10,1.5742270034332702,True,1.1956621719908505,1.483030481325232,1.0837899311696573,1.1108515977187188,1.1379287237878246,0.5160658960546075,0.9000000000000002,1.0,0.14331133160502765,0.3785648314424197,0.24052852185050425,0.4904370722636129,0.2147167666211251,0.4633754057145514,0.1903561888215754,0.43629827964544554
2025-03-11,1.4703681947215335,True,1.2939047679535451,1.929671369670926,1.4157089116226507,1.4070197150932042,1.357125797030272,0.5190384101256331,0.9000000000000002,1.0,0.031139340986701177,0.17646342676798832,0.0029876372288838143,0.054659283098882794,0.004013029871220844,0.06334847962832924,0.012823840634865838,0.11324239769126154
2025-03-12,1.135380702105245,False,1.2934950836346841,1.8956835876396887,1.3904510584926986,1.3955111694523952,1.3435307556776332,0.5160658960546075,0.9000000000000002,1.0,0.025000157646437007,0.15811438152943902,0.06506088670762251,0.25507035638745346,0.0676678600422467,0.26013046734715006,0.04332644480218805,0.20815005357238814
