refit_date,c,k,train_qlike
2025-02-24,0.9000000000000002,1.0,0.3650687852376961
2025-03-25,0.9000000000000002,1.0,0.3636836766112316
2025-04-24,0.9000000000000002,1.0,0.36342379703655187
2025-05-23,0.9000000000000002,1.0,0.36286954710170427
2025-06-25,0.9000000000000002,1.0,0.3624892660449782
2025-07-25,0.9000000000000002,1.0,0.36188876193682146
2025-08-25,0.9000000000000002,1.0,0.3614522695619487
2025-09-24,0.9000000000000002,1.0,0.3620498322288038
2025-10-23,0.9000000000000002,1.0,0.3630768376649345
2025-11-21,0.9000000000000002,1.0,0.3624136716464359
2025-12-23,0.9000000000000002,1.0,0.3618976525231123
2026-01-26,0.9000000000000002,1.0,0.36190916006247653
2026-02-25,0.9000000000000002,1.0,0.36220446776347254
2026-03-26,0.9000000000000002,1.0,0.36192773035409115
2026-04-27,0.9000000000000002,1.0,0.36190986412013215
2026-05-27,0.8500000000000002,1.0,0.36147546409788506
2026-06-26,0.8500000000000002,1.0,0.36257862677124547
2026-07-28,0.8500000000000002,1.0,0.36219723059708553
