refit_date,n_train,n_crisis_train,n_calm_train,beta_ols_pooled,beta_ols_crisis,beta_ols_calm,alpha_d_pooled,beta_d_pooled,converged_d_pooled,alpha_d_crisis,beta_d_crisis,converged_d_crisis,alpha_d_calm,beta_d_calm,converged_d_calm,m9_c,m9_k,m9c_c,m9c_k,m9d_c,m9d_k
2025-02-24,3304,326,2978,0.7431474226784701,0.8302360751032695,0.6169918723001041,0.10317009237914426,0.6699769552583386,True,0.07797544725474845,0.7862854098665002,True,0.1370544516129554,0.6111204746931727,True,0.9000000000000002,1.0,0.6500000000000001,1.0,0.30000000000000004,1.0
2025-03-25,3325,339,2986,0.7436077778441539,0.8285264292949429,0.6167955625346698,0.10261201176339882,0.6714501884071051,True,0.08070845251085274,0.7856540217808197,True,0.1374009203476628,0.6108545785110678,True,0.9000000000000002,1.0,0.6500000000000001,1.0,0.30000000000000004,1.0
2025-04-24,3346,352,2994,0.744700977589366,0.8313612276609944,0.612549427394994,0.10347478541734126,0.668097080248752,True,0.07761863561909346,0.784875219288237,True,0.14040192842908938,0.6043024205389025,True,0.9000000000000002,1.0,0.6500000000000001,1.0,0.30000000000000004,1.0
2025-05-23,3367,354,3013,0.7449107209924908,0.8330263196965205,0.6131501658870612,0.10332840798181699,0.6679337988451539,True,0.07716704301960951,0.7840153951162012,True,0.14000830647812224,0.6047735173905056,True,0.9000000000000002,1.0,0.6500000000000001,1.0,0.30000000000000004,1.0
2025-06-25,3388,355,3033,0.745932374956625,0.8347376488927792,0.6142611124411848,0.10296981832181135,0.6688967611113626,True,0.07581436117213475,0.7849882443095905,True,0.13944604935452043,0.6061828748172083,True,0.9000000000000002,1.0,0.6000000000000002,1.0,0.30000000000000004,1.0
2025-07-25,3409,355,3054,0.7466710215967314,0.8349249666264573,0.6154676276332807,0.10235117380039646,0.669821228314861,True,0.07644629802853109,0.7858105061946001,True,0.13869896484209782,0.6071038883068793,True,0.9000000000000002,1.0,0.6000000000000002,1.0,0.25000000000000006,1.0
2025-08-25,3430,355,3075,0.7462186477151115,0.8362178928171178,0.6142499050510158,0.10352045862737735,0.6679648822932964,True,0.07636556492144607,0.7851049891283948,True,0.1400010631437321,0.6050772080867958,True,0.9000000000000002,1.0,0.6000000000000002,1.0,0.30000000000000004,1.0
2025-09-24,3451,355,3096,0.747169162879623,0.8368913378668488,0.6153669513603286,0.10334144895026015,0.6684896875742771,True,0.07665749794028026,0.7860837970256073,True,0.1398225236720936,0.6054443279360264,True,0.9000000000000002,1.0,0.6000000000000002,1.0,0.25000000000000006,1.0
2025-10-23,3472,358,3114,0.7475567946093489,0.83744558534506,0.6155421802588893,0.10388585828933339,0.6674769595130332,True,0.07682749162448622,0.7861380129529878,True,0.1408617225961969,0.6036619365185601,True,0.9000000000000002,1.0,0.6000000000000002,1.0,0.25000000000000006,1.0
2025-11-21,3493,358,3135,0.7487812223082826,0.8381139660801283,0.6176632393638245,0.10309366547480181,0.6685285642191364,True,0.0771514830522673,0.7866015971443551,True,0.13971050930955461,0.6053507264658842,True,0.9000000000000002,1.0,0.6000000000000002,1.0,0.25000000000000006,1.0
2025-12-23,3514,360,3154,0.7504667829369942,0.8404545949755303,0.6184438440657133,0.10304938031010782,0.6689950870548935,True,0.07598446808113782,0.788403893050708,True,0.140029232870642,0.6052261656390474,True,0.9000000000000002,1.0,0.6000000000000002,1.0,0.25000000000000006,1.0
2026-01-26,3535,360,3175,0.7509233385168186,0.8407058331369457,0.6189467457544989,0.10296531016695654,0.668280328080491,True,0.07644060288662072,0.7883202289156211,True,0.1400474908011352,0.6042919092776358,True,0.9000000000000002,1.0,0.6000000000000002,1.0,0.30000000000000004,1.0
2026-02-25,3556,361,3195,0.7521006400442887,0.8416520096115498,0.6199998158634984,0.10308681162611885,0.6694395877330253,True,0.07733162459072024,0.789233769683432,True,0.14013488209405858,0.605539759400854,True,0.9000000000000002,1.0,0.6000000000000002,1.0,0.25000000000000006,1.0
2026-03-26,3577,363,3214,0.7539399867152697,0.8438889249097582,0.6216708424785666,0.10247748403793447,0.6711779936492638,True,0.0763054021544004,0.7912848398444062,True,0.13938007964888402,0.6075511987878701,True,0.9000000000000002,1.0,0.6000000000000002,1.0,0.25000000000000006,1.0
2026-04-27,3598,364,3234,0.7525214622616823,0.8414839492670033,0.6203636307118677,0.10268432578770487,0.6698620630081198,True,0.07545428245839385,0.7920994607970105,True,0.1399712114733539,0.6056942644877236,True,0.9000000000000002,1.0,0.6000000000000002,1.0,0.25000000000000006,1.0
2026-05-27,3619,364,3255,0.7547259395651253,0.8433332037979268,0.6225284942301683,0.09994396623895355,0.6730261128640642,True,0.07177651430247989,0.7959193125500464,True,0.13747939138887666,0.6086232625457763,True,0.8500000000000002,1.0,0.6000000000000002,1.0,0.25000000000000006,1.0
2026-06-26,3640,368,3272,0.7540035801689178,0.8432812549084985,0.6219633886940958,0.0994181478504981,0.6728808592743369,True,0.07119101400485875,0.7944759988354662,True,0.13667381811765128,0.6090915696345789,True,0.8500000000000002,1.0,0.5500000000000002,1.0,0.20000000000000004,1.0
2026-07-28,3661,370,3291,0.7562798021423511,0.8465821749162856,0.6242734111420936,0.09847623494056557,0.674884998321372,True,0.0687632050970752,0.7964873196464826,True,0.13540290867614727,0.6117136737212986,True,0.8500000000000002,1.0,0.5500000000000002,1.0,0.20000000000000004,1.0
