date,actual,crisis_eval,regime_exante,M1,M2_raw,M2b_pooled,M2c_regime,M2d_pooled,M2d_regime,M3,M9,M9c,M9d,w9,w9c,w9d,M2d_regime_sq_err,M2d_regime_abs_err,M9d_sq_err,M9d_abs_err,M9c_sq_err,M9c_abs_err,M9_sq_err,M9_abs_err,M3_sq_err,M3_abs_err,M1_sq_err,M1_abs_err
2025-02-24,0.5881866242372542,False,calm,0.5701072920542876,1.054098285332578,0.7650316742881517,0.7271842670323232,0.8093916521293003,0.7812354961186598,0.7349732802499005,0.6600812288183511,0.6524139781395981,0.6988311727026009,0.4615837984604498,0.5239895032153479,0.6096953328370371,0.03726786693468336,0.19304887188140563,0.012242216105100446,0.11064454846534666,0.004125152989296932,0.06422735390234391,0.005168834167872275,0.07189460458109687,0.02154632238337495,0.1467866560126463,0.0003268622521820535,0.018079332182966645
2025-02-25,0.9444909365048862,False,calm,0.5811979340037753,1.0657238628577002,0.773671192263095,0.7343571538761183,0.8171805211627015,0.7883401245743947,0.732091984114111,0.6641911157159652,0.6567443896700766,0.7013526398367427,0.4311933120619438,0.4932543775638755,0.580059067165286,0.024383076066551733,0.15615081193049152,0.059116231306686196,0.24313829666814357,0.08279807521535727,0.2877465468348096,0.07856798953430123,0.280299820788921,0.0451133149766988,0.21239895239077522,0.1319818056662722,0.36329300250111096
2025-02-26,0.9047966158371155,False,crisis,0.7169569017549847,1.0842330462587297,0.7874262442034532,0.8237232308422746,0.8295812475020414,0.9304920724230978,0.7947783453474362,0.7524152821713898,0.7773118547746211,0.8554464393616992,0.5031745605166441,0.5652995053364758,0.6485561004934488,0.0006602564891621053,0.02569545658598238,0.002435439918154731,0.049350176475416285,0.01625236430316129,0.1274847610624944,0.02322007084974523,0.1523813336657257,0.012104019841540232,0.11001827048967927,0.035283758186456626,0.18783971408213074
2025-02-27,1.0079341642549453,False,calm,0.7951543573979334,0.9975537849919619,0.7230107745933809,0.6922967698988927,0.7715081399544903,0.7466799942292143,0.7717789755104579,0.7591398227593202,0.7374106252279591,0.7638918022754355,0.49920634987288987,0.5613949692385397,0.6449296716634727,0.06825374135583358,0.26125417002573104,0.05955667444053809,0.2440423619795098,0.07318298516768534,0.2705235390269862,0.061898624360241704,0.24879434149562507,0.055769273170944454,0.23615518874448738,0.045275246206107296,0.21277980685701192
2025-02-28,1.162612388277234,True,crisis,0.8538083552025508,1.2713192848447274,0.9264589002272468,0.9790489752717472,0.9549247160006231,1.077595252210071,0.9271429375015032,0.8907966344482179,0.9253384086713885,1.0001568509374485,0.5091259705359921,0.5711410038477682,0.6539636488635873,0.007227913425062506,0.08501713606716299,0.026391801612358393,0.16245553733978535,0.056298941397995135,0.2372739796058454,0.07388380402963624,0.271815753829016,0.05544586224862425,0.23546945077573067,0.09535993084318996,0.30880403307468307
2025-03-03,1.6372519033217299,True,crisis,0.9479562565539765,1.1567042227771513,0.8412830122515947,0.8838914159930452,0.8781352656898431,0.9874751011553925,0.903541578876514,0.8929058331480159,0.9109311985949085,0.9740474852183307,0.5160658960546075,0.5779310091914465,0.6602224565902246,0.42220989263351155,0.6497768021663374,0.43984010019186826,0.6632044181033991,0.5275417661148665,0.7263207047268214,0.5540510721830516,0.744346070173714,0.538330840197504,0.7337103244452159,0.4751284886529754,0.6892956467677533
2025-03-04,1.5758033738832995,True,crisis,1.1930868229694218,1.4393099753952856,1.0513007489438706,1.1185209068483306,1.067474607367432,1.209683881183373,1.150708076920627,1.1190731344299936,1.1495606278225465,1.204132880031448,0.5220095770906968,0.5837277594255117,0.6655430691169734,0.13404348293485152,0.3661194926999265,0.13813895600007925,0.3716704938518516,0.18168287856941154,0.42624274606075296,0.20860251163107418,0.45673023945330593,0.1807060114997827,0.42509529696267245,0.14647195834341473,0.3827165509138777
2025-03-05,1.2691872248855978,True,crisis,1.286514061314117,1.5471178027028167,1.1314178579520278,1.2080268542575463,1.1397033672599484,1.294451602864692,1.2375820644505842,1.2058595441123772,1.2408503613930773,1.2917827959988832,0.5200289591450735,0.58179799783329,0.6637741234103678,0.0006382887946705399,0.0252643779790942,0.0005105598339355409,0.022595571113285473,0.000802977832593742,0.028336863492520514,0.004010395152114933,0.0633276807732206,0.0009988861661229492,0.0316051604350136,0.000300219260620663,0.017326836428519288
2025-03-06,1.198675575476957,True,crisis,1.1997334305859195,1.3984205791940076,1.020913899542012,1.084573055032839,1.0400796541981479,1.1775331455320575,1.0901954436795447,1.1074507690656805,1.1331786785236617,1.1850763038506555,0.5160658960546075,0.5779310091914465,0.6602224565902246,0.00044700234397498115,0.021142429944899455,0.00018494018876592545,0.013599271626301368,0.004289843510510569,0.06549689695329519,0.008321965304774855,0.0912248064112764,0.011767938994783927,0.10848013179741223,1.1190574315583021e-06,0.0010578551089626131
2025-03-07,1.3495043417044101,True,crisis,1.1415351550440154,1.643472651415712,1.2030237154355898,1.28802412567011,1.204258895424992,1.3702140145775354,1.1716524475741785,1.173145414005966,1.2259119077515592,1.2921064203477464,0.5140835752316958,0.5759938946046054,0.6584398121054124,0.0004288905505118622,0.020709672873125307,0.003294521376065759,0.05739792135666377,0.015275089730389815,0.12359243395285091,0.031102471378945028,0.17635892769844408,0.031631296245711114,0.1778518941302316,0.04325118260018612,0.20796918666039477
2025-03-10,1.5742270034332702,True,crisis,1.19566217199085,1.483025087161431,1.0837875215849828,1.1548147696637558,1.096762724847292,1.2440564357557764,1.1108505302832838,1.1379274802833503,1.1720551915411033,1.227613151698605,0.5160658960546075,0.5779310091914465,0.6602224565902246,0.10901260376047849,0.33017056767749375,0.12014116221434039,0.3466138517346651,0.16174216628062846,0.4021718118921669,0.19035727390084742,0.4362995231499198,0.21471775586891997,0.4633764731499863,0.143311331605028,0.37856483144242015
2025-03-11,1.4703681947215175,True,crisis,1.293904767953544,1.9296648109705812,1.4157066811995764,1.525631180944273,1.3960010471023716,1.5952427340537145,1.4070185010608554,1.3571246393550251,1.4284989240327357,1.4936580659719518,0.5190384101256331,0.5808321733464907,0.6628879215040765,0.015593650573428429,0.12487453933219705,0.0005424181028618088,0.023289871250434357,0.00175303582801048,0.04186927068878177,0.012824102832043814,0.11324355536649233,0.004013183686899734,0.06334969366066212,0.031139340986695924,0.17646342676797344
