refit_date,n_train,n_crisis_train,n_calm_train,alpha_d_calm,beta_d_calm,m9d_c,m9d_k,m9e_c,m9e_k
2025-02-24,3304,326,2978,0.13705680507035856,0.6111162008106619,0.30000000000000004,1.0,0.5000000000000001,1.0
2025-03-25,3325,339,2986,0.13740218448058295,0.6108532091638027,0.30000000000000004,1.0,0.5000000000000001,1.0
2025-04-24,3346,352,2994,0.14040307996201867,0.6043008253200686,0.30000000000000004,1.0,0.5000000000000001,1.0
2025-05-23,3367,354,3013,0.14000967911778334,0.6047714936323538,0.30000000000000004,1.0,0.5000000000000001,1.0
2025-06-25,3388,355,3033,0.1394472351916539,0.6061813885162106,0.30000000000000004,1.0,0.5000000000000001,1.0
2025-07-25,3409,355,3054,0.13869991029245077,0.6071028981271318,0.25000000000000006,1.0,0.45000000000000007,1.0
2025-08-25,3430,355,3075,0.1400024199544306,0.6050757094244741,0.30000000000000004,1.0,0.5000000000000001,1.0
2025-09-24,3451,355,3096,0.1398234922144319,0.605443052989733,0.25000000000000006,1.0,0.45000000000000007,1.0
2025-10-23,3472,358,3114,0.1408626369044225,0.6036607333020338,0.25000000000000006,1.0,0.45000000000000007,1.0
2025-11-21,3493,358,3135,0.13971195183482416,0.605348502266126,0.25000000000000006,1.0,0.45000000000000007,1.0
2025-12-23,3514,360,3154,0.14003016757574097,0.6052249195303028,0.25000000000000006,1.0,0.45000000000000007,1.0
2026-01-26,3535,360,3175,0.14004825216316918,0.6042911644628292,0.30000000000000004,1.0,0.45000000000000007,1.0
2026-02-25,3556,361,3195,0.14013560509759324,0.6055381950799694,0.25000000000000006,1.0,0.45000000000000007,1.0
2026-03-26,3577,363,3214,0.13938097685094625,0.6075501440045953,0.25000000000000006,1.0,0.45000000000000007,1.0
2026-04-27,3598,364,3234,0.13997237799097734,0.6056920803949765,0.25000000000000006,1.0,0.45000000000000007,1.0
2026-05-27,3619,364,3255,0.13747598415093226,0.6086266781936409,0.25000000000000006,1.0,0.40000000000000013,1.0
2026-06-26,3640,368,3272,0.13667492875546877,0.6090904014974203,0.20000000000000004,1.0,0.40000000000000013,1.0
2026-07-28,3661,370,3291,0.13540385104158253,0.6117124069590948,0.20000000000000004,1.0,0.40000000000000013,1.0
