date,actual,M1 HAR+TS,M4 Log-HAR,M5 Asym-HAR,M6 HAR+Ret,M7 Roll-HAR,M8 KitchSink,M2 EGARCH,M2b Corrected EGARCH,M3 Combined
2025-02-24,0.5881866242372542,0.5739603782574679,0.5199221091934397,0.6227199221959577,0.7691907009083532,0.5604069300158805,0.7599858343587905,1.0523367110354849,0.7588076165888973,0.7408892654765199
2025-02-25,0.9444909365048862,0.5814221254428545,0.5431426634630594,0.6293602030638988,0.6049510544101716,0.5834024788436066,0.6110815248224707,1.065282563224273,0.7682936910222844,0.7334658470113843
2025-02-26,0.9047966158371155,0.7215050904501011,0.6506145959984223,0.7853289342285361,0.7073568666267054,0.6887400461175667,0.7204359715696333,1.0849390836814174,0.7826970082731454,0.8001497356535846
2025-02-27,1.0079341642549853,0.7939979206452117,0.7280198153796076,0.7112523113340724,0.715052147035496,0.7728099690433139,0.6965567215129634,1.0003528152365382,0.7207164119547735,0.769558305723844
2025-02-28,1.162612388277234,0.8540170207417538,0.7820443391077322,0.9293426853526979,1.0026076585520212,0.8238767713502724,1.001669817947814,1.2714673551783346,0.9193756171084306,0.9259584555447422
2025-03-03,1.6372519033217243,0.9476045254122825,0.8515206412014568,0.8374062191076895,0.8455368645883246,0.9051764193711952,0.8421995961125407,1.1608853547560876,0.8383466456895567,0.9018047202453802
2025-03-04,1.5758033738832995,1.193808494134076,1.0237675659946368,1.3039646806689342,1.292973805098482,1.1114403387546532,1.3037383684207122,1.4414277230196506,1.0439140929505144,1.1496130630673504
2025-03-05,1.2691872248855978,1.2798795243021472,1.0949748775465575,1.3957831524166342,1.3064951832562823,1.2146381789403873,1.3245294502104947,1.5511316598563043,1.1242996631928015,1.2286514652741998
2025-03-06,1.198675575476941,1.1916978666942384,1.0467382546727686,1.084813767649523,1.0843679518603166,1.1557627409634539,1.0724647825564182,1.4075604351633446,1.0190978345245065,1.0782702101075081
2025-03-07,1.3495043417044101,1.1374237159631742,1.0136412065048388,1.2389086395031872,1.2991814919701874,1.102915866800806,1.2996652278182115,1.651683618320486,1.1979791204045993,1.1643384387448434
2025-03-10,1.5742270034332668,1.1941557767094186,1.0617137788508868,1.0760265727499723,1.0732627592166049,1.1465840937727072,1.0519298987996457,1.4963136435208717,1.0841317564636561,1.1063103448667317
2025-03-11,1.4703681947215175,1.2925688369611825,1.1346481865864118,1.4107461173076752,1.545206660364215,1.2293793422672352,1.5412870585974225,1.939063007304389,1.4085563952543445,1.4054526132481437
2025-03-12,1.1353807021052291,1.2888700959974335,1.1417876292978915,1.4051556122196076,1.2793937878995856,1.2430696037653424,1.2996820645183722,1.9102047475571242,1.3874105026558132,1.3922115142296656
2025-03-13,0.9053771017130369,1.1572201831170117,1.048487831393312,1.0690979354110377,1.06696513242158,1.143036443155974,1.0500394018693047,1.7219304117702785,1.2494524650445618,1.216391051550048
2025-03-14,1.3763905340659452,1.020679421140443,0.9456363735419487,1.109904023878876,1.1542586937364017,1.0243270579316683,1.1542583406695042,1.8225780366474955,1.3232020218296898,1.1991468524335294
2025-03-17,0.7844344466788503,1.154526334583835,1.0550810183475439,1.0295994112476712,1.0370526366225639,1.1120329432849068,1.0351705647256706,1.6435529345033832,1.1920213610575423,1.184367200115799
2025-03-18,0.6229559816489348,0.9779364285875471,0.910279418089389,0.9300187425054206,0.931925525073352,1.0022142948084418,0.9255855267313676,1.4889166205091555,1.0787115871421349,1.0326390188182653
2025-03-19,1.0633096873707888,0.7942357105065957,0.7580117536569903,0.8619287646163799,0.9210126165150194,0.8236414701546902,0.9181381046954719,1.5707613087778982,1.1386832903234096,1.0047730568866435
2025-03-20,0.9658313334589435,0.920224876740223,0.8699892349670811,0.8250411146410249,0.8339315792923755,0.9070003766815885,0.8252081345593251,1.4247479050318146,1.0316919547196304,1.0080560155035094
2025-03-21,0.6898582520213179,0.9554773678447724,0.9151184735431547,1.0394464798894667,0.9241528384891402,0.9616743797673368,0.9404617606254718,1.361355895752683,0.9852414538383822,0.9927854475620813
2025-03-24,0.4967305455923468,0.8128689297674387,0.7950701587070284,0.7664882145900868,0.7715795716840936,0.8453297033537305,0.7567320203458086,1.2477714634914958,0.9020124502014653,0.8782044409240751
2025-03-25,0.3340131517401923,0.6924062083235069,0.6743919604861152,0.6673312267267213,0.6802024792871704,0.7297548087159514,0.6926305799361412,1.1382326311268454,0.8224946418805235,0.7591099421487612
2025-03-26,0.8736551598193741,0.5924449371750805,0.5530593811489868,0.5850188721818942,0.5916720004974558,0.6355909440746262,0.5866761137634706,1.0448299455392547,0.7539971605275982,0.6621223736149571
2025-03-27,0.7419973152130572,0.74228065536996,0.6921929627915965,0.8085515974312152,0.8501486056542447,0.7279394190205779,0.8508070492433416,1.213667213634127,0.8778150952074536,0.8546562554513156
