regime,N,alpha,alpha_se,beta,beta_se,R2,F_stat,F_pval
pooled,3304,-0.018316349537008197,0.011464506257635395,0.743142176441325,0.01116011126465404,0.5731706689660149,1296.6552117040562,0.0
crisis_train,326,-0.07644111800363765,0.06171526109579298,0.8302289422785714,0.03345453402334769,0.655269766881154,77.58436185487261,0.0
calm_train,2978,0.07681569262131897,0.012975941008832323,0.616988082097523,0.014523153762021344,0.3775114454985212,1494.1727323010157,0.0
