subsample,model,N,RMSE,MAE,QLIKE
overall,M2 raw,376,0.42652092107874134,0.3321083591022469,0.4154200385107845
overall,M2d-regime,376,0.3382211424867546,0.22902063363793285,0.3180847273429189
overall,M2e,376,0.35426898461427986,0.23939803880654656,0.32434353066399646
crisis,M2 raw,38,0.6644929581187158,0.4885596861605867,0.36859635746588737
crisis,M2d-regime,38,0.7782228251111908,0.5827534553905606,0.8396846817991936
crisis,M2e,38,0.7293663512141536,0.5613289014448943,0.7944984350032039
calm,M2 raw,338,0.39080792611077186,0.31451915665190106,0.4206842393383174
calm,M2d-regime,338,0.24323997945574588,0.1892518548610102,0.25944331234487616
calm,M2e,338,0.2825045877935631,0.20320462821406962,0.27148587869686663
