date,actual,crisis_eval,regime_exante,M1,M2_raw,M2d_regime,M2e,M3,M9d,M9e,w9d,w9e,M2e_sq_err,M2e_abs_err,M9e_sq_err,M9e_abs_err,M9d_sq_err,M9d_abs_err,M3_sq_err,M3_abs_err,M1_sq_err,M1_abs_err
2025-02-24,0.5881866242372483,False,calm,0.5701072920542918,1.05410432330799,0.7812370343884311,0.7812370343884311,0.7349752344606565,0.6988321105785027,0.6885932060304585,0.6096953328370371,0.5611995385692644,0.03726846085953988,0.19305041015118274,0.010081481667396601,0.10040658179321016,0.012242423647692707,0.11064548634125437,0.02154689609131965,0.14678861022340817,0.00032686225218168816,0.018079332182956542
2025-02-25,0.9444909365048862,False,calm,0.5811979340037753,1.0657256699379243,0.7883390275892203,0.7883390275892203,0.7320915629595095,0.7013520035205457,0.691130869983022,0.580059067165286,0.5307152437809244,0.02438341865800645,0.156151908915666,0.06419132330796348,0.25336006652186427,0.05911654073276364,0.24313893298434053,0.045113493882468485,0.21239937354537675,0.1319818056662722,0.36329300250111096
2025-02-26,0.9047966158371155,False,crisis,0.7169569017549843,1.0842373054600647,0.9304946051298209,1.0842373054600647,0.7947790773583365,0.855448081964095,0.9379622765898821,0.6485561004934488,0.6017347307545466,0.032198961092359604,0.17944068962294923,0.0010999610531676036,0.03316566075276661,0.0024352777954166423,0.049348533873020406,0.012103858772929603,0.11001753847877893,0.03528375818645679,0.18783971408213118
2025-02-27,1.0079341642549853,False,calm,0.7951543573979339,0.9975577183383504,0.7466804879906436,0.7466804879906436,0.7717795767620503,0.7638921207168321,0.7661706340986107,0.6449296716634727,0.5979246891927307,0.06825348336163346,0.2612536762643417,0.05844960451367222,0.24176353015637453,0.05955651901427785,0.24404204353815317,0.055768989193958264,0.23615458749293494,0.04527524620612407,0.21277980685705133
2025-02-28,1.162612388277234,True,crisis,0.8538083552025669,1.2713269719376032,1.077598790555505,1.2713269719376032,0.9271447227352481,1.000159164886745,1.1074202807256337,0.6539636488635873,0.607426628077791,0.011818860700447445,0.10871458366036935,0.003046168735987404,0.0551921075516002,0.026391049789960108,0.16245322339048895,0.0554450215157925,0.23546766554198584,0.09535993084318001,0.308804033074667
2025-03-03,1.6372519033217299,True,crisis,0.9479562565539851,1.1567106973292982,0.9874787212313905,1.1567106973292982,0.9035429208593366,0.974049875273802,1.076137823677561,0.6602224565902246,0.6140303729468464,0.23091985065666065,0.48054120599243166,0.31484901037492274,0.5611140796441689,0.43983693000688445,0.6632020280479278,0.5383288709460005,0.7337089824623932,0.4751284886529636,0.6892956467677448
2025-03-04,1.5758033738832995,True,crisis,1.1930868229694247,1.439322460257539,1.2096896747276735,1.439322460257539,1.1507117218818719,1.2041367358847037,1.3456686110866958,0.6655430691169734,0.6196576165729375,0.018627039784122307,0.13648091362576054,0.05296200904744906,0.23013476279660372,0.13813608980117925,0.3716666379985958,0.18070291260130283,0.4250916520014276,0.14647195834341253,0.3827165509138748
2025-03-05,1.2691872248855978,True,crisis,1.2865140613141195,1.5471232373625379,1.2944508793567409,1.5471232373625379,1.2375815949449054,1.2917823157530282,1.4475145938858789,0.6637741234103678,0.6177853558841965,0.0772484270315818,0.2779360124769401,0.03180065053456242,0.17832736900028112,0.0005105381313074362,0.02259509086743039,0.0009989158439479907,0.03160562994069238,0.00030021926062074765,0.01732683642852173
2025-03-06,1.198675575476941,True,crisis,1.1997334305859222,1.3984253592122877,1.1775332502238334,1.3984253592122877,1.0901947607391618,1.1850763729705178,1.3217363096218977,0.6602224565902246,0.6140303729468464,0.03989997610231782,0.1997497837353468,0.01514394428829573,0.12306073414495677,0.0001849383088107044,0.013599202506423103,0.011768087166172362,0.10848081473777915,1.119057431597764e-06,0.0010578551089812649
2025-03-07,1.3495043417043935,True,crisis,1.1415351550440094,1.6434812204374738,1.3702148853351368,1.6434812204374738,1.1716530449355789,1.2921069936892158,1.448800309540867,0.6584398121054124,0.6121477498902186,0.08642240522964421,0.2939768787330803,0.009859689228581988,0.09929596783647354,0.0032944555591754242,0.05739734801517771,0.031631083762348966,0.17785129676881462,0.04325118260018169,0.2079691866603841
