subsample,model,N,RMSE,MAE,QLIKE
overall,M9d,376,0.3382857926253425,0.21909375963169467,0.31804918558503803
overall,M9c,376,0.3386951877007207,0.21333941798037423,0.3337885524944661
overall,M9,376,0.34279706513767066,0.21362102430645466,0.3388225556441324
overall,M3,376,0.3288039726661435,0.21082068941034574,0.34164875339436246
overall,M1,376,0.36840487314996934,0.22595645022619654,0.39036178713657904
crisis,M9d,38,0.8215782480035172,0.5954562329802917,0.9663083875202441
crisis,M9c,38,0.8496675117888419,0.6325262251914014,1.146907320925279
crisis,M9,38,0.8692821020738078,0.6398456134846722,1.159097739609452
crisis,M3,38,0.8098572862143063,0.5968217650863226,1.0791419813092193
crisis,M1,38,0.9447192827856584,0.6553733878836546,1.49130743507317
calm,M9d,338,0.2267519907112671,0.17678081884102403,0.24516797353315095
calm,M9c,338,0.21551575871576217,0.16621190711049547,0.24237283296674159
calm,M9,338,0.21393013780100006,0.1657022835112705,0.24660226868945154
calm,M3,338,0.21570797433311703,0.16742411877221816,0.2587353135696152
calm,M1,338,0.22503607026229505,0.17767880634754737,0.26658683263483207
