subsample,loss,N,dm_stat,p_value
overall,mse,376,-1.6788462488156344,0.09401502027500208
overall,qlike,376,0.2803138779583688,0.7793912751435987
crisis,mse,38,-1.8752551371210844,0.06866646967072976
crisis,qlike,38,-0.9188909468505065,0.364104458511856
calm,mse,338,0.6027952863391894,0.5470503048293871
calm,qlike,338,2.1449592008826075,0.03267057437844745
