refit_date,c,k,train_qlike
2025-02-24,0.9000000000000002,1.0,0.3650688277390596
2025-03-25,0.9000000000000002,1.0,0.3636837138505228
2025-04-24,0.9000000000000002,1.0,0.3634236643604902
2025-05-23,0.9000000000000002,1.0,0.36286957765704453
2025-06-25,0.9000000000000002,1.0,0.36248928725269475
2025-07-25,0.9000000000000002,1.0,0.361888872526803
2025-08-25,0.9000000000000002,1.0,0.36145216028803495
2025-09-24,0.9000000000000002,1.0,0.36204994143509633
2025-10-23,0.9000000000000002,1.0,0.3630768707918165
2025-11-21,0.9000000000000002,1.0,0.36241364487100647
2025-12-23,0.9000000000000002,1.0,0.3618976834398707
2026-01-26,0.9000000000000002,1.0,0.3619091939827042
2026-02-25,0.9000000000000002,1.0,0.3622045013903811
2026-03-26,0.9000000000000002,1.0,0.3619277616050031
2026-04-27,0.9000000000000002,1.0,0.361909892338494
2026-05-27,0.8500000000000002,1.0,0.3614754602257741
2026-06-26,0.8500000000000002,1.0,0.3625784120193814
2026-07-28,0.8500000000000002,1.0,0.36219726267565633
