refit_date,n_train,n_crisis_train,n_calm_train,crisis_stable,calm_stable,alpha_crisis,beta_crisis,alpha_calm,beta_calm,eg_alpha_pooled,eg_beta_pooled,m9_c,m9_k,m9c_c,m9c_k
2025-02-24,3304,326,2978,True,True,-0.07644629949111544,0.8302370263713535,0.07681331290310232,0.6169932191635825,-0.018319560193485733,0.7431487358454464,0.9000000000000002,1.0,0.6500000000000001,1.0
2025-03-25,3325,339,2986,True,True,-0.07099096357899597,0.8285275865386842,0.07712653276192066,0.6167970178752437,-0.018167781701416606,0.7436092416237077,0.9000000000000002,1.0,0.6500000000000001,1.0
2025-04-24,3346,352,2994,True,True,-0.08421744364449034,0.8313558041800456,0.07826457037567901,0.6125484889223037,-0.022219829641906597,0.744698882269187,0.9000000000000002,1.0,0.6500000000000001,1.0
2025-05-23,3367,354,3013,True,True,-0.08831596504429741,0.8330268411965314,0.0777455501683073,0.6131512010879352,-0.022816070126947648,0.7449116487269124,0.9000000000000002,1.0,0.6500000000000001,1.0
2025-06-25,3388,355,3033,True,True,-0.09029018738586612,0.8347387253744214,0.07751609144812421,0.6142625574637506,-0.023023887383892435,0.7459338023584198,0.9000000000000002,1.0,0.6000000000000002,1.0
2025-07-25,3409,355,3054,True,True,-0.08873010130118378,0.8349253865364012,0.0768272591999012,0.6154686465572812,-0.022990970202233396,0.7466719177994452,0.9000000000000002,1.0,0.6000000000000002,1.0
2025-08-25,3430,355,3075,True,True,-0.09162709475831893,0.8360182715532146,0.07762344702014591,0.6140946592543122,-0.022788828193502683,0.7460353138072107,0.9000000000000002,1.0,0.6000000000000002,1.0
2025-09-24,3451,355,3096,True,True,-0.09087134297923308,0.8368935310116884,0.07694771513713375,0.6153696453314792,-0.023031289693753818,0.7471719424706597,0.9000000000000002,1.0,0.6000000000000002,1.0
2025-10-23,3472,358,3114,True,True,-0.09130096729777484,0.8374457641621528,0.07632647647296839,0.6155430633728227,-0.023826418343391578,0.7475574950685026,0.9000000000000002,1.0,0.6000000000000002,1.0
2025-11-21,3493,358,3135,True,True,-0.0913341869992729,0.838111144209583,0.07487572707513747,0.6176652289652378,-0.024709585148584456,0.7487817306688764,0.9000000000000002,1.0,0.6000000000000002,1.0
2025-12-23,3514,360,3154,True,True,-0.09273661111333327,0.8404552485815769,0.07456983236425836,0.6184449957578032,-0.02559302826116094,0.7504678383693325,0.9000000000000002,1.0,0.6000000000000002,1.0
2026-01-26,3535,360,3175,True,True,-0.09279033155752696,0.8407067341961444,0.07353333487638254,0.6189481126436451,-0.02649787989548475,0.75092463874749,0.9000000000000002,1.0,0.6000000000000002,1.0
2026-02-25,3556,361,3195,True,True,-0.09154475786834232,0.8416511839925975,0.07369681182855975,0.6200012922298406,-0.02639183960984084,0.7521014122040494,0.9000000000000002,1.0,0.6000000000000002,1.0
2026-03-26,3577,363,3214,True,True,-0.09199830210750844,0.8438900666239252,0.0731703980190968,0.6216723876813988,-0.02708679609194873,0.7539415019649669,0.9000000000000002,1.0,0.6000000000000002,1.0
2026-04-27,3598,364,3234,True,True,-0.08799294979666794,0.8414844602352497,0.07340442055571024,0.6203646722753758,-0.026820322088800818,0.7525223876316042,0.9000000000000002,1.0,0.6000000000000002,1.0
2026-05-27,3619,364,3255,True,True,-0.08881680597786482,0.843382717906097,0.07171247016904558,0.6225556145890655,-0.02846595005475882,0.7547625684714181,0.8500000000000002,1.0,0.6000000000000002,1.0
2026-06-26,3640,368,3272,True,True,-0.09066410762931364,0.8432775603617801,0.07142490191250986,0.621961637585593,-0.028858405104664624,0.7540007326018568,0.8500000000000002,1.0,0.5500000000000002,1.0
2026-07-28,3661,370,3291,True,True,-0.09426250969094188,0.8465818739651105,0.07039740355047439,0.6242739307992866,-0.029917949524310036,0.7562800656798284,0.8500000000000002,1.0,0.5500000000000002,1.0
