stage,RMSE,MAE,QLIKE,alpha,beta
before,0.3856468631740555,0.22499185582122747,0.4484641460028001,-0.0834921727114796,1.230455340715463
after,0.37776193523787643,0.23043383864407369,0.3920501384298566,-0.08348088872675102,1.130717200724743
