date,actual,crisis,M1 HAR+TS,M1 HAR+TS_sq_err,M1 HAR+TS_abs_err,M2b Corrected EGARCH,M2b Corrected EGARCH_sq_err,M2b Corrected EGARCH_abs_err,M3 Combined,M3 Combined_sq_err,M3 Combined_abs_err,M9 Regime,M9 Regime_sq_err,M9 Regime_abs_err
2025-02-24,0.5881866242372542,False,0.5701072920542863,0.00032686225218209766,0.018079332182967867,0.7650351944838627,0.03127541679826962,0.1768485702466085,0.7349749091384513,0.021546800584235012,0.1467882849011971,0.6600828536836582,0.005169067808609962,0.07189622944640395
2025-02-25,0.9444909365048862,False,0.5811979340037752,0.1319818056662723,0.3632930025011111,0.7736711694933175,0.029179392801886635,0.17081976701156876,0.7320912213874395,0.04511363898197252,0.2123997151174467,0.6641911058977894,0.07856799503836719,0.28029983060709684
2025-02-26,0.9047966158371143,False,0.7169569017549845,0.03528375818645629,0.18783971408212985,0.7874292025894518,0.013775109692447591,0.11736741324766253,0.7947797486444672,0.012103711066884558,0.11001686719264714,0.7524167707559644,0.023219617186955272,0.15237984508115
2025-02-27,1.0079341642549453,False,0.7951543573979326,0.04527524620610763,0.2127798068570127,0.7230117336808876,0.08118079144422875,0.28492243057405775,0.7717792694191926,0.05576913435488541,0.2361548948357527,0.7591403015418932,0.06189838612368104,0.24879386271305215
2025-02-28,1.162612388277234,True,0.8538083552025506,0.0953599308431901,0.3088040330746833,0.9264621405559089,0.055766939498843156,0.23615024772132498,0.9271444940983856,0.055445129189021294,0.23546789417884828,0.8907982841836928,0.07388290718417441,0.2718141040935411
2025-03-03,1.6372519033217299,True,0.9479562565539764,0.4751284886529755,0.6892956467677535,0.8412856491693966,0.6335622777492967,0.7959662541523332,0.9035429806423341,0.5383287832193596,0.7337089226793958,0.892907193971364,0.5540490463378807,0.7443447093503659
2025-03-04,1.5758033738832995,True,1.1930868229694211,0.14647195834341523,0.38271655091387835,1.0513071152532851,0.27509632531688294,0.5244962586300144,1.1507117839502154,0.1807028598318373,0.42509158993308405,1.1190764577044785,0.20859947596221579,0.456726916178821
2025-03-05,1.269187224885605,True,1.2865140613141164,0.000300219260620386,0.017326836428511294,1.1314215518623962,0.018979380663537698,0.13776567302320886,1.2375838985429566,0.000998770235919941,0.03160332634264851,1.2058614650527408,0.004010151858409605,0.06332575983286426
2025-03-06,1.198675575476957,True,1.199733430585922,1.1190574315634697e-06,0.0010578551089650556,1.0209166855992264,0.03159822293056311,0.17775888987773047,1.090197104110619,0.011767578749977373,0.10847847136633781,1.1074522068547947,0.008321702982774884,0.09122336862216218
2025-03-07,1.3495043417043935,True,1.1415351550440165,0.04325118260017873,0.207969186660377,1.203024468830307,0.02145635315720857,0.1464798728740866,1.1716523507578565,0.03163133068364709,0.17785199094653703,1.173145801313816,0.031102334768694926,0.1763585403905774
2025-03-10,1.5742270034332702,True,1.1956621719908431,0.14331133160503318,0.37856483144242703,1.0837875675361708,0.24053084028306504,0.4904394358970994,1.1108503314900093,0.21471794010121237,0.4633766719432608,1.137927503997188,0.19035725320817595,0.43629949943608226
2025-03-11,1.4703681947215157,True,1.2939047679535405,0.031139340986696552,0.17646342676797522,1.4157053693250723,0.002988024480322058,0.054662825396443404,1.4070165992565575,0.004013424647955708,0.06335159546495817,1.3571239584417665,0.01282425705058367,0.11324423627974922
2025-03-12,1.135380702105227,False,1.293495083634675,0.025000157646439886,0.15811438152944812,1.390444001115222,0.06505728650186213,0.255063299009995,1.3955057453994966,0.06766503814884567,0.26012504329426966,1.3435271136057976,0.0433249286205649,0.20814641150057067
2025-03-13,0.9053771017130369,False,1.1623941917775904,0.06605778458525083,0.25701709006455353,1.2461120150878888,0.11610028119256786,0.34073491337485196,1.220484476210851,0.09929265746290575,0.31510737449781423,1.204684965768869,0.08958519748566447,0.2993078640558321
2025-03-14,1.3763905340659452,True,1.0219911953155882,0.1255988913066903,0.354399338750357,1.3202303098119086,0.0031539707882636877,0.05616022425403666,1.1987576305754275,0.03155344840247159,0.17763290349051775,1.1679158224847999,0.04346170536884175,0.2084747115811454
2025-03-17,0.7844344466788685,False,1.1482783224822144,0.13238236595960057,0.3638438758033459,1.183573486569764,0.15931197316502588,0.3991390398908955,1.1751261658459038,0.15264001942569355,0.39069171916703527,1.1664229866247313,0.14591524464997202,0.3819885399458628
2025-03-18,0.6229559816489394,False,0.9821499494957426,0.12902030653753033,0.35919396784680324,1.0666366847152262,0.19685256627339456,0.4436807030662868,1.0337034218719916,0.16871345964978984,0.4107474402230522,1.0217314930796275,0.15902190851680686,0.3987755114306881
2025-03-19,1.0633096873707888,False,0.7902021362272823,0.07458773449160301,0.2731075511435065,1.1285317778559711,0.004253921087257314,0.06522209048518235,0.9961331379297229,0.0045126887948079685,0.06717654944106588,0.9354294013892568,0.016353367542718412,0.127880285981532
2025-03-20,0.9658313334589435,False,0.9099462748661119,0.0031231397739242155,0.05588505859283155,1.0183840792890129,0.002761791094279878,0.052552745830069414,0.9924488092663502,0.0007084900183578808,0.0266174758074067,0.9644018453856519,2.0434361516828557e-06,0.0014294880732915738
2025-03-21,0.6898582520213281,False,0.9520221445110127,0.06872990652534293,0.26216389248968464,0.971394324607205,0.07926256016708014,0.2815360725858769,0.9854611176520834,0.08738105416911439,0.29560286563075533,0.9615967725701822,0.07384182355007998,0.27173852054885406
2025-03-24,0.4967305455923468,False,0.8091829266132813,0.09762649040565122,0.3124523810209345,0.8869408539688531,0.15226408476328818,0.39021030837650633,0.8712004272982435,0.1402276923048283,0.37446988170589673,0.8433943495611187,0.1201757929820991,0.3466638039687719
2025-03-25,0.3340131517401923,False,0.6857606533772516,0.123726304907913,0.35174750163705926,0.8060508550445717,0.22281959334087334,0.47203770330437944,0.7501195545592446,0.17314453846701142,0.4161064028190523,0.7323248455597855,0.15865220543343336,0.3983116938195932
2025-03-26,0.8736551598193858,False,0.5841505224092405,0.0838129350819797,0.2895046374101453,0.7370955935836405,0.0186485151304949,0.13655956623574528,0.6523854989301306,0.04896026283004597,0.22126966088925515,0.6339087651824901,0.05747833374139014,0.23974639463689573
2025-03-27,0.7419973152130572,False,0.7273865763072906,0.00021347369137248134,0.014610738905766585,0.8665359952853791,0.01550988283415613,0.12453868007232183,0.8369857963095163,0.009022811541012364,0.09498848109645908,0.794229398928247,0.0027281905692305877,0.052232083715189725
2025-03-28,0.8932205942986979,False,0.7522061129870432,0.01988508393959502,0.14101448131165473,0.8355709327841729,0.0033234834727393046,0.057649661514525,0.8450520258893618,0.002320210982604896,0.04816856840933614,0.7901931473370329,0.010614654827438693,0.10302744696166499
2025-03-31,1.4054738400422284,True,0.793696671889107,0.3742713034734526,0.6117771681531214,1.0960436438996901,0.09574704628480973,0.3094301961425383,1.0419453916485648,0.13215293279150456,0.3635284483936636,0.9401325409856633,0.21654252460765153,0.46534129905656507
2025-04-01,1.1056445212415345,False,1.040118234387947,0.004293694268818637,0.06552628685358752,0.9905311493760909,0.013251088382231895,0.11511337186544357,1.0761820366456805,0.0008680379985609336,0.02946248459585399,1.0145771767440457,0.008293261233824298,0.09106734449748877
2025-04-02,1.1915565198361564,True,1.0639962631289999,0.016271619091195674,0.12756025670715654,0.8989890150322251,0.08559574486719838,0.29256750480393134,0.9949435476082891,0.03865666084827613,0.19661297222786733,0.9811325065010439,0.04427826538805561,0.21042401333511251
2025-04-03,1.1069893947030318,False,1.062889335623972,0.001944815210776573,0.044100059079059895,0.8182721504106945,0.08335764715176121,0.28871724429233736,0.9208707165705466,0.034640162349783614,0.18611867813248517,0.9385909771953886,0.028358027019078504,0.16839841750764317
2025-04-04,1.7929399439684086,True,1.06702689564653,0.5269497537239619,0.7259130483218785,1.833484823675791,0.0016438872704861098,0.04054487970738241,1.6176556099675068,0.030724597746139705,0.17528433400090182,1.4511683078512787,0.11680785125417986,0.3417716361171299
2025-04-07,5.506178961625043,True,1.3348188476032266,17.400245200852098,4.171360114021816,2.6268837188180507,8.290341095250977,2.8792952428069922,2.2922683633205567,10.329221333893901,3.213910598304486,2.011847277593085,12.21035391802962,3.494331684031958
2025-04-08,3.9204256343254973,True,2.921157511492785,0.9985367813096125,0.9992681228327123,2.331245775992282,2.5254926221319782,1.5891798583332153,2.8591043320064933,1.1264029067561068,1.061321302319004,2.6114661279054396,1.713374989447441,1.3089595064200577
2025-04-09,3.6903155364446882,True,3.1409541086100172,0.30179797839254846,0.549361427834671,2.2700864554800075,2.0170506424177814,1.4202290809646807,2.847481268015144,0.710369604039165,0.8428342684295442,2.6846285996801074,1.011406214778926,1.0056869367645809
2025-04-10,3.1558798709015448,True,2.979487799064426,0.03111416300699128,0.1763920718371188,1.984680307104102,1.3717084182393204,1.1711995637974428,2.4210763065864556,0.5399362781301594,0.7348035643150892,2.459203848345348,0.48535748040472204,0.6966760225561965
