date,actual,crisis_eval,regime_exante,M1,M2_raw,M2b_pooled,M2c_regime,M3,M9,M9c,w9,w9c,m9_c_active,m9_k_active,m9c_c_active,m9c_k_active,M2c_regime_sq_err,M2c_regime_abs_err,M9c_sq_err,M9c_abs_err,M9_sq_err,M9_abs_err,M3_sq_err,M3_abs_err,M1_sq_err,M1_abs_err
2025-02-24,0.5881866242372542,False,calm,0.5701072920542912,1.0541003225609393,0.7650337619719536,0.727186064241347,0.7349751101660675,0.6600821924593724,0.6524149198582634,0.4615837984604498,0.5239895032153479,0.9000000000000002,1.0,0.6500000000000001,1.0,0.019320844321451397,0.1389994400040928,0.004125273958379747,0.06422829562100918,0.005168972729981249,0.07189556822211818,0.02154685960127343,0.14678848592881333,0.000326862252181921,0.01807933218296298
2025-02-25,0.9444909365048862,False,calm,0.5811979340037776,1.0657234327484124,0.7736714616143666,0.7343574444126091,0.732092489058581,0.6641912318584335,0.6567445329784737,0.4311933120619438,0.4932543775638755,0.9000000000000002,1.0,0.6500000000000001,1.0,0.04415608449889511,0.21013349209227716,0.08279799274238506,0.28774640352641256,0.07856792442488862,0.2802997046464527,0.04511310047760087,0.2123984474463052,0.13198180566627052,0.36329300250110863
2025-02-26,0.9047966158371155,False,crisis,0.716956901754986,1.0842304145600519,0.7874249017520011,0.8237219357946018,0.7947774845514384,0.752414606683971,0.7773111226848128,0.5031745605166441,0.5652995053364758,0.9000000000000002,1.0,0.6500000000000001,1.0,0.006573103743995955,0.08107468004251361,0.016252550964285798,0.12748549315230262,0.02322027671354901,0.15238200915314448,0.01210420924885505,0.11001913128567709,0.03528375818645613,0.1878397140821294
2025-02-27,1.0079341642549853,False,calm,0.795154357397934,0.9975532242616242,0.7230108573550894,0.6922968880272931,0.7717788583868046,0.7591398640744909,0.737410691544649,0.49920634987288987,0.5613949692385397,0.9000000000000002,1.0,0.6500000000000001,1.0,0.09962689014443649,0.3156372762276922,0.07318294928726006,0.2705234727103363,0.061898603802301964,0.24879430018049442,0.05576932848969397,0.23615530586818068,0.045275246206124026,0.21277980685705122
2025-02-28,1.1626123882772232,True,crisis,0.8538083552025674,1.271321002045583,0.9264610353304554,0.9790514688106589,0.9271444164592217,0.8907977214847194,0.9253398328337128,0.5091259705359921,0.5711410038477682,0.9000000000000002,1.0,0.6500000000000001,1.0,0.03369461115541054,0.1835609194665644,0.05629826556669374,0.23727255544351045,0.07388321308351992,0.2718146667925039,0.05544516575208315,0.2354679718180015,0.09535993084317315,0.30880403307465587
2025-03-03,1.6372519033217243,True,crisis,0.9479562565539811,1.1567059902659262,0.8412850342174926,0.883893842253199,0.9035426773241967,0.8929068766156609,0.9109326008058896,0.5160658960546075,0.5779310091914465,0.9000000000000002,1.0,0.6500000000000001,1.0,0.5675483681769279,0.7533580610685253,0.5275397292070887,0.7263193025158348,0.5540495187820502,0.7443450267060634,0.5383292283138911,0.7337092259975276,0.4751284886529615,0.6892956467677432
2025-03-04,1.5758033738832995,True,crisis,1.1930868229694198,1.43931598414575,1.0513062939065727,1.1185271231948102,1.150711515273489,1.1190760289536277,1.149564256476548,0.5220095770906968,0.5837277594255117,0.9000000000000002,1.0,0.6500000000000001,1.0,0.20910156944372213,0.4572762506884893,0.18167978520768646,0.42623911740675147,0.20859986760650742,0.4567273449296718,0.1807030882563431,0.42509185860981047,0.14647195834341625,0.3827165509138797
2025-03-05,1.269187224885605,True,crisis,1.2865140613141168,1.5471180476254216,1.1314192611030214,1.2080283878148688,1.2375825372782923,1.2058602737915276,1.240851253613657,0.5200289591450735,0.58179799783329,0.9000000000000002,1.0,0.6500000000000001,1.0,0.003740403351844872,0.06115883707073633,0.0008029272679246738,0.0283359712719482,0.004010302734871682,0.06332695109407749,0.0009988562787558333,0.03160468760731283,0.0003002192606204014,0.017326836428511738
2025-03-06,1.198675575476957,True,crisis,1.1997334305859226,1.3984208892575158,1.020915155838102,1.0845745012216284,1.090195701348346,1.1074514173972496,1.1331795143210095,0.5160658960546075,0.5779310091914465,0.9000000000000002,1.0,0.6500000000000001,1.0,0.013019055146220001,0.11410107425532856,0.004289734026943604,0.06549606115594742,0.008321847017351426,0.0912241580797073,0.011767883090959247,0.10847987412861082,1.1190574315648791e-06,0.0010578551089657218
2025-03-07,1.3495043417044101,True,crisis,1.141535155044016,1.6434699281949647,1.2030230393446089,1.288023286624214,1.1716516320400152,1.1731450664386975,1.2259114244662461,0.5140835752316958,0.5759938946046054,0.9000000000000002,1.0,0.6500000000000001,1.0,0.003779920133774104,0.06148105508019608,0.015275209191439659,0.12359291723816401,0.031102593972247388,0.1763592752657126,0.03163158633496756,0.17785270966439493,0.043251182600185845,0.2079691866603941
